onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
4.84	1263.3	1211	show_cross	fixate	+	1	7	nonWM
10.1461934215	313.7	2538	show_letter	to_remember	W	1	7	W
11.6538915523	313.45	2914	show_letter	to_ignore	T	1	7	gT
13.161689683	313.45	3291	show_letter	to_remember	M	1	7	M
14.6694878136	313.45	3668	show_letter	to_remember	P	1	7	P
16.1771859444	313.45	4045	show_letter	to_remember	G	1	7	G
17.6839840763	313.7	4422	show_letter	to_remember	H	1	7	H
19.191782207	313.7	4799	show_letter	to_remember	Z	1	7	Z
20.6995803376	313.7	5176	show_letter	to_remember	N	1	7	N
22.2072784684	776.9	5553	show_dash	work_memory	-	1	7	WM
25.5677743022	313.7	6393	show_letter	probe_target	M	1	7	rM
27.7574715874	0.0	6940	right_click	remembered_correct	n/a	1	7	1
28.1575710914	0.0	7040	sound_beep	feedback_correct	n/a	1	7	correct
31.8697664891	0.0	7968	right_click	indicate_ready	n/a	1	7	1
31.9207664259	1263.075	7981	show_cross	fixate	+	2	5	nonWM
37.2270598472	313.45	9308	show_letter	to_ignore	B	2	5	gB
38.734757978	313.475	9685	show_letter	to_ignore	H	2	5	gH
40.2425561087	313.45	10062	show_letter	to_remember	D	2	5	D
41.7493542406	313.7	10438	show_letter	to_remember	R	2	5	R
43.2570523714	313.725	10815	show_letter	to_remember	N	2	5	N
44.7647505022	313.725	11192	show_letter	to_remember	Z	2	5	Z
46.2726486327	313.7	11569	show_letter	to_remember	V	2	5	V
47.7804467634	313.7	11946	show_letter	to_ignore	L	2	5	gL
49.2881448942	759.65	12323	show_dash	work_memory	-	2	5	WM
52.5796408134	313.725	13146	show_letter	probe_target	R	2	5	rR
55.1727375986	0.0	13794	left_click	ignored_incorrect	n/a	2	5	255
55.5728371025	0.0	13894	sound_buzz	feedback_incorrect	n/a	2	5	wrong
61.6576295587	0.0	15415	right_click	indicate_ready	n/a	2	5	1
61.7183294835	1263.05	15431	show_cross	fixate	+	3	7	nonWM
67.0235229062	313.7	16757	show_letter	to_ignore	C	3	7	gC
68.531221037	313.725	17134	show_letter	to_remember	Z	3	7	Z
70.0390191677	313.7	17511	show_letter	to_remember	L	3	7	L
71.5468172983	313.7	17888	show_letter	to_remember	K	3	7	K
73.0545154291	313.475	18265	show_letter	to_remember	R	3	7	R
