onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
10.6427510602	2508.444334451	5323	show_cross	fixate	+	1	7	nonWM
15.876315576	608.4713964795	7940	show_letter	to_remember	Z	1	7	Z
17.310088042	608.521402347	8657	show_letter	to_remember	X	1	7	X
18.743960513	608.4713964795	9374	show_letter	to_remember	S	1	7	S
20.1768329335	608.4713964795	10091	show_letter	to_remember	Y	1	7	Y
21.6097053541	608.4713964795	10807	show_letter	to_remember	C	1	7	C
23.0425777746	608.4713964795	11524	show_letter	to_remember	V	1	7	V
24.4763502405	608.521402347	12241	show_letter	to_remember	T	1	7	T
25.9102227116	608.4713964795	12958	show_letter	to_ignore	W	1	7	gW
27.3430951321	1286.4509488684	13674	show_dash	work_memory	-	1	7	WM
30.1318360812	608.4713964795	15069	show_letter	probe_target	V	1	7	rV
31.3547978923	0.0	15680	right_click	remembered_correct	n/a	1	7	1
31.7550181203	0.0	15880	sound_beep	feedback_correct	n/a	1	7	correct
33.3062965253	0.0	16656	right_click	indicate_ready	n/a	1	7	1
33.3244974452	2508.444334451	16665	show_cross	fixate	+	2	7	nonWM
38.557961956	608.521402347	19282	show_letter	to_remember	Y	2	7	Y
39.991834427	608.4713964795	19999	show_letter	to_ignore	W	2	7	gW
41.425706898	608.4713964795	20716	show_letter	to_remember	S	2	7	S
42.8585793186	608.4713964795	21433	show_letter	to_remember	J	2	7	J
44.2914517391	608.4713964795	22149	show_letter	to_remember	P	2	7	P
45.725224205	608.521402347	22866	show_letter	to_remember	C	2	7	C
47.1590966761	608.4713964795	23583	show_letter	to_remember	D	2	7	D
48.5919690966	608.4713964795	24300	show_letter	to_remember	K	2	7	K
50.0248415171	1766.9573302598	25016	show_dash	work_memory	-	2	7	WM
53.7754310801	480.5063813915	26892	show_letter	probe_target	C	2	7	rC
54.7192787842	0.0	27364	right_click	remembered_correct	n/a	2	7	1
55.1193990072	0.0	27564	sound_beep	feedback_correct	n/a	2	7	correct
68.2737638575	0.0	34142	right_click	indicate_ready	n/a	2	7	1
68.2919647774	2508.444334451	34151	show_cross	fixate	+	3	5	nonWM
73.5254292881	608.521402347	36768	show_letter	to_remember	J	3	5	J
74.9593017592	608.521402347	37485	show_letter	to_remember	S	3	5	S
76.3931742302	608.4713964795	38202	show_letter	to_remember	Y	3	5	Y
77.8260466507	608.4713964795	38919	show_letter	to_ignore	T	3	5	gT
79.2589190712	608.4713964795	39635	show_letter	to_ignore	P	3	5	gP
80.6917914917	608.4713964795	40352	show_letter	to_remember	F	3	5	F
82.1256639628	608.4713964795	41069	show_letter	to_ignore	M	3	5	gM
83.5594364288	608.521402347	41786	show_letter	to_remember	K	3	5	K
84.9933088998	1071.4757242246	42503	show_dash	work_memory	-	3	5	WM
