file_basename	sampling_rate
sub-001_ses-01_task-Experiment_run-1	250
sub-001_ses-01_task-Experiment_run-2	250
sub-001_ses-01_task-Experiment_run-3	250
sub-001_ses-01_task-Experiment_run-4	250
sub-002_ses-01_task-Experiment_run-1	250
sub-002_ses-01_task-Experiment_run-2	250
sub-002_ses-01_task-Experiment_run-3	250
sub-002_ses-01_task-Experiment_run-4	250
sub-003_ses-01_task-Experiment_run-1	250
sub-003_ses-01_task-Experiment_run-2	250
sub-003_ses-01_task-Experiment_run-3	250
sub-003_ses-01_task-Experiment_run-4	250
sub-004_ses-01_task-Experiment_run-1	250
sub-004_ses-01_task-Experiment_run-2	250
sub-004_ses-01_task-Experiment_run-3	250
sub-004_ses-01_task-Experiment_run-4	250
sub-005_ses-01_task-Experiment_run-1	250
sub-005_ses-01_task-Experiment_run-2	250
sub-005_ses-01_task-Experiment_run-3	250
sub-005_ses-01_task-Experiment_run-4	250
sub-006_ses-01_task-Experiment_run-1	250
sub-006_ses-01_task-Experiment_run-2	250
sub-006_ses-01_task-Experiment_run-3	250
sub-006_ses-01_task-Experiment_run-4	250
sub-007_ses-01_task-Experiment_run-1	250
sub-007_ses-01_task-Experiment_run-2	250
sub-007_ses-01_task-Experiment_run-3	250
sub-007_ses-01_task-Experiment_run-4	250
sub-008_ses-01_task-Experiment_run-1	250
sub-008_ses-01_task-Experiment_run-2	250
sub-008_ses-01_task-Experiment_run-3	250
sub-008_ses-01_task-Experiment_run-4	250
sub-009_ses-01_task-Experiment_run-1	250
sub-009_ses-01_task-Experiment_run-2	250
sub-009_ses-01_task-Experiment_run-3	250
sub-009_ses-01_task-Experiment_run-4	250
sub-010_ses-01_task-Experiment_run-1	250
sub-010_ses-01_task-Experiment_run-2	250
sub-010_ses-01_task-Experiment_run-3	250
sub-010_ses-01_task-Experiment_run-4	250
sub-011_ses-01_task-Experiment_run-1	250
sub-011_ses-01_task-Experiment_run-2	250
sub-011_ses-01_task-Experiment_run-3	250
sub-011_ses-01_task-Experiment_run-4	250
sub-012_ses-01_task-Experiment_run-1	250
sub-012_ses-01_task-Experiment_run-2	250
sub-012_ses-01_task-Experiment_run-3	250
sub-014_ses-01_task-Experiment_run-1	1000
sub-014_ses-01_task-Experiment_run-2	1000
sub-014_ses-01_task-Experiment_run-3	1000
sub-015_ses-01_task-Experiment_run-1	500
sub-015_ses-01_task-Experiment_run-2	500
sub-015_ses-01_task-Experiment_run-3	500
sub-016_ses-01_task-Experiment_run-1	500
sub-016_ses-01_task-Experiment_run-2	500
sub-016_ses-01_task-Experiment_run-3	500
sub-017_ses-01_task-Experiment_run-1	500
sub-017_ses-01_task-Experiment_run-2	500
sub-017_ses-01_task-Experiment_run-3	500
sub-018_ses-01_task-Experiment_run-1	500
sub-018_ses-01_task-Experiment_run-2	500
sub-018_ses-01_task-Experiment_run-3	500
sub-019_ses-01_task-Experiment_run-1	500
sub-019_ses-01_task-Experiment_run-2	500
sub-019_ses-01_task-Experiment_run-3	500
sub-020_ses-01_task-Experiment_run-1	500
sub-020_ses-01_task-Experiment_run-2	500
sub-020_ses-01_task-Experiment_run-3	500
sub-021_ses-01_task-Experiment_run-1	500
sub-021_ses-01_task-Experiment_run-2	500
sub-021_ses-01_task-Experiment_run-3	500
sub-022_ses-01_task-Experiment_run-1	500.059
sub-022_ses-01_task-Experiment_run-2	500.059
sub-022_ses-01_task-Experiment_run-3	500.059
sub-022_ses-01_task-Experiment_run-4	500.059
sub-022_ses-01_task-Experiment_run-5	500.059
sub-022_ses-01_task-Experiment_run-6	500.059
sub-023_ses-01_task-Experiment_run-1	500.059
sub-023_ses-01_task-Experiment_run-2	500.059
sub-023_ses-01_task-Experiment_run-3	500.059
sub-023_ses-01_task-Experiment_run-4	500.059
sub-023_ses-01_task-Experiment_run-5	500.059
sub-024_ses-01_task-Experiment_run-1	500
sub-024_ses-01_task-Experiment_run-2	500
sub-024_ses-01_task-Experiment_run-3	500
