column_name	column_value	description	HED
event_type	left_click	Description for left_click	Label/left_click
event_type	right_click	Description for right_click	Label/right_click
event_type	show_cross	Description for show_cross	Label/show_cross
event_type	show_dash	Description for show_dash	Label/show_dash
event_type	show_letter	Description for show_letter	Label/show_letter
event_type	sound_beep	Description for sound_beep	Label/sound_beep
event_type	sound_buzz	Description for sound_buzz	Label/sound_buzz
task_role	bad_trial	Description for bad_trial	Label/bad_trial
task_role	feedback_correct	Description for feedback_correct	Label/feedback_correct
task_role	feedback_incorrect	Description for feedback_incorrect	Label/feedback_incorrect
task_role	fixate	Description for fixate	Label/fixate
task_role	ignored_correct	Description for ignored_correct	Label/ignored_correct
task_role	ignored_incorrect	Description for ignored_incorrect	Label/ignored_incorrect
task_role	indicate_ready	Description for indicate_ready	Label/indicate_ready
task_role	probe_not_shown	Description for probe_not_shown	Label/probe_not_shown
task_role	probe_target	Description for probe_target	Label/probe_target
task_role	remembered_correct	Description for remembered_correct	Label/remembered_correct
task_role	remembered_incorrect	Description for remembered_incorrect	Label/remembered_incorrect
task_role	to_ignore	Description for to_ignore	Label/to_ignore
task_role	to_remember	Description for to_remember	Label/to_remember
task_role	work_memory	Description for work_memory	Label/work_memory
trial	n/a	Description for trial	Label/#
letter	n/a	Description for letter	Label/#
memory_cond	n/a	Description for memory_cond	Label/#
