onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
6.1992725078	2508.3943285834	3101	show_cross	fixate	+	1	5	nonWM
11.4321805626	608.4713964795	5718	show_letter	to_remember	V	1	5	V
12.8651744582	608.4713964795	6434	show_letter	to_remember	W	1	5	W
14.2991684892	608.4713964795	7151	show_letter	to_ignore	Q	1	5	gQ
15.7330625066	608.5714082146	7868	show_letter	to_remember	S	1	5	S
17.1670565376	608.4713964795	8586	show_letter	to_ignore	T	1	5	gT
18.6000504332	608.4713964795	9302	show_letter	to_remember	Z	1	5	Z
20.0330443289	608.4713964795	10019	show_letter	to_remember	K	1	5	K
21.4660382245	608.4713964795	10735	show_letter	to_ignore	X	1	5	gX
22.9000322555	1494.9254107293	11452	show_dash	work_memory	-	1	5	WM
26.1059660442	326.4883093043	13056	show_letter	probe_target	W	1	5	rW
26.7423521524	0.0	13374	right_click	remembered_correct	n/a	1	5	1
27.14260631	0.0	13574	sound_beep	feedback_correct	n/a	1	5	correct
32.8341764254	0.0	16420	right_click	indicate_ready	n/a	1	5	1
32.852878956	2508.3943285834	16429	show_cross	fixate	+	2	3	nonWM
38.0866871325	608.521402347	19047	show_letter	to_ignore	F	2	3	gF
39.520781177	608.4713964795	19764	show_letter	to_ignore	B	2	3	gB
40.9546751945	608.4713964795	20481	show_letter	to_ignore	C	2	3	gC
42.3886692254	608.4713964795	21198	show_letter	to_remember	R	2	3	R
43.8216631211	608.4713964795	21914	show_letter	to_remember	M	2	3	M
45.2546570167	608.4713964795	22631	show_letter	to_ignore	J	2	3	gJ
46.6876509124	608.4713964795	23348	show_letter	to_ignore	H	2	3	gH
48.1215449298	608.521402347	24065	show_letter	to_remember	T	2	3	T
49.5555389608	1154.9855230511	24782	show_dash	work_memory	-	2	3	WM
52.08258089	378.9944702431	26045	show_letter	probe_not_shown	S	2	3	rS
52.8238811939	0.0	26416	left_click	ignored_correct	n/a	2	3	255
53.224035338	0.0	26616	sound_beep	feedback_correct	n/a	2	3	correct
54.4324988528	0.0	27220	right_click	indicate_ready	n/a	2	3	1
54.451501424	2508.3943285834	27230	show_cross	fixate	+	3	7	nonWM
59.6844094787	608.4713964795	29847	show_letter	to_remember	L	3	7	L
61.1184035097	608.4713964795	30564	show_letter	to_remember	K	3	7	K
62.5513974054	608.4713964795	31280	show_letter	to_remember	G	3	7	G
63.984391301	608.4713964795	31997	show_letter	to_remember	Z	3	7	Z
65.418385332	608.4713964795	32714	show_letter	to_remember	H	3	7	H
66.8522793494	608.4713964795	33431	show_letter	to_remember	W	3	7	W
68.2852732451	608.4713964795	34148	show_letter	to_ignore	M	3	7	gM
69.7182671407	608.4713964795	34864	show_letter	to_remember	D	3	7	D
71.1512610364	1894.4222866723	35581	show_dash	work_memory	-	3	7	WM
75.1562029373	608.4713964795	37584	show_letter	probe_not_shown	Q	3	7	rQ
78.3778388507	0.0	39195	left_click	ignored_correct	n/a	3	7	255
78.7779929948	0.0	39395	sound_beep	feedback_correct	n/a	3	7	correct
80.5666350125	0.0	40289	right_click	indicate_ready	n/a	3	7	1
80.585137516	2508.3943285834	40298	show_cross	fixate	+	4	3	nonWM
85.8180455707	608.4713964795	42915	show_letter	to_ignore	D	4	3	gD
87.2519395882	608.521402347	43632	show_letter	to_remember	Y	4	3	Y
