onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.8	1250.2	951	show_cross	fixate	+	1	5	nonWM
9.0175039806	304.225	2255	show_letter	to_remember	M	1	5	M
10.4511050744	304.2	2614	show_letter	to_ignore	G	1	5	gG
11.8846061681	304.225	2972	show_letter	to_remember	L	1	5	L
13.3182072618	304.225	3331	show_letter	to_remember	Z	1	5	Z
14.7518083556	304.2	3689	show_letter	to_remember	B	1	5	B
16.1853094492	304.225	4047	show_letter	to_remember	Y	1	5	Y
17.618910543	304.2	4406	show_letter	to_ignore	R	1	5	gR
19.0524116367	304.225	4764	show_letter	to_ignore	C	1	5	gC
20.4860127304	600.1	5123	show_dash	work_memory	-	1	5	WM
23.1031147271	304.2	5777	show_letter	probe_not_shown	T	1	5	rT
25.0649162238	0.0	6267	left_click	ignored_correct	n/a	1	5	255
25.4650165291	0.0	6367	sound_beep	feedback_correct	n/a	1	5	correct
41.9106290761	0.0	10479	right_click	indicate_ready	n/a	1	5	1
41.9227290853	1254.35	10482	show_cross	fixate	+	2	3	nonWM
47.1568330786	304.225	11790	show_letter	to_ignore	J	2	3	gJ
48.5904341724	304.2	12149	show_letter	to_ignore	Q	2	3	gQ
50.0240352661	304.2	12507	show_letter	to_remember	D	2	3	D
51.4575363598	304.225	12865	show_letter	to_remember	H	2	3	H
52.8911374535	304.2	13224	show_letter	to_ignore	X	2	3	gX
54.3246385472	304.225	13582	show_letter	to_remember	G	2	3	G
55.758239641	304.2	13941	show_letter	to_ignore	C	2	3	gC
57.1917407346	304.225	14299	show_letter	to_ignore	W	2	3	gW
58.6253418284	833.45	14657	show_dash	work_memory	-	2	3	WM
62.1759445373	304.2	15545	show_letter	probe_target	D	2	3	rD
64.0293459513	0.0	16008	right_click	remembered_correct	n/a	2	3	1
64.4294462566	0.0	16108	sound_beep	feedback_correct	n/a	2	3	correct
73.8630534538	0.0	18467	right_click	indicate_ready	n/a	2	3	1
73.877753465	1254.35	18470	show_cross	fixate	+	3	5	nonWM
79.1118574583	304.225	19779	show_letter	to_remember	K	3	5	K
80.5454585521	304.2	20137	show_letter	to_ignore	C	3	5	gC
81.9790596458	304.2	20496	show_letter	to_remember	J	3	5	J
83.4125607395	304.225	20854	show_letter	to_ignore	Y	3	5	gY
84.8461618333	304.2	21213	show_letter	to_remember	L	3	5	L
86.2796629269	304.225	21571	show_letter	to_remember	D	3	5	D
87.7132640207	304.2	21929	show_letter	to_remember	M	3	5	M
89.1467651144	304.225	22288	show_letter	to_ignore	S	3	5	gS
90.5803662081	512.575	22646	show_dash	work_memory	-	3	5	WM
92.8473679377	304.225	23213	show_letter	probe_target	J	3	5	rJ
94.2949690421	0.0	23575	right_click	remembered_correct	n/a	3	5	1
94.6950693474	0.0	23675	sound_beep	feedback_correct	n/a	3	5	correct
102.8896755994	0.0	25723	right_click	indicate_ready	n/a	3	5	1
102.8989756065	1254.35	25726	show_cross	fixate	+	4	7	nonWM
108.1330795998	304.225	27034	show_letter	to_remember	W	4	7	W
109.5666806935	304.225	27393	show_letter	to_ignore	T	4	7	gT
111.0002817873	304.2	27751	show_letter	to_remember	M	4	7	M
112.4337828809	304.225	28109	show_letter	to_remember	P	4	7	P
113.8673839747	304.2	28468	show_letter	to_remember	G	4	7	G
115.3008850684	304.225	28826	show_letter	to_remember	H	4	7	H
116.7344861621	304.2	29185	show_letter	to_remember	Z	4	7	Z
118.1679872558	304.225	29543	show_letter	to_remember	N	4	7	N
119.6015883495	766.8	29901	show_dash	work_memory	-	4	7	WM
122.8853908549	304.225	30722	show_letter	probe_target	M	4	7	rM
124.1383918108	0.0	31036	right_click	remembered_correct	n/a	4	7	1
124.5385921162	0.0	31136	sound_beep	feedback_correct	n/a	4	7	correct
133.1019986495	0.0	33276	right_click	indicate_ready	n/a	4	7	1
133.1203986636	1254.35	33281	show_cross	fixate	+	5	5	nonWM
138.3545026569	304.225	34590	show_letter	to_remember	K	5	5	K
139.7881037506	304.2	34948	show_letter	to_ignore	Z	5	5	gZ
141.2216048443	304.225	35306	show_letter	to_remember	J	5	5	J
142.655205938	304.225	35665	show_letter	to_remember	V	5	5	V
144.0888070318	304.2	36023	show_letter	to_remember	R	5	5	R
145.5223081255	304.225	36382	show_letter	to_ignore	H	5	5	gH
146.9559092192	304.2	36740	show_letter	to_ignore	M	5	5	gM
148.3894103129	304.225	37098	show_letter	to_remember	S	5	5	S
149.8230114066	750.125	37457	show_dash	work_memory	-	5	5	WM
153.0402138612	262.525	38261	show_letter	probe_target	R	5	5	rR
154.08731466	0.0	38523	right_click	remembered_correct	n/a	5	5	1
154.4874149653	0.0	38623	sound_beep	feedback_correct	n/a	5	5	correct
165.3181232285	0.0	41331	right_click	indicate_ready	n/a	5	5	1
165.325423234	1254.375	41332	show_cross	fixate	+	6	5	nonWM
170.5596272274	304.2	42641	show_letter	to_ignore	S	6	5	gS
171.9931283211	304.225	42999	show_letter	to_remember	C	6	5	C
173.4267294148	304.2	43358	show_letter	to_remember	G	6	5	G
174.8602305085	304.225	43716	show_letter	to_remember	P	6	5	P
176.2938316022	304.2	44074	show_letter	to_ignore	F	6	5	gF
177.7273326959	304.225	44433	show_letter	to_remember	M	6	5	M
179.1609337897	304.225	44791	show_letter	to_ignore	J	6	5	gJ
180.5945348834	304.2	45150	show_letter	to_remember	L	6	5	L
182.0280359771	745.95	45508	show_dash	work_memory	-	6	5	WM
185.2285384189	191.7	46308	show_letter	probe_target	G	6	5	rG
