onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
7.036	2508.7	3519	show_cross	fixate	+	1	7	nonWM
12.2714322652	608.45	6137	show_letter	to_remember	W	1	7	W
13.7053971675	608.4	6854	show_letter	to_remember	L	1	7	L
15.1392620444	608.45	7571	show_letter	to_remember	D	1	7	D
16.5732269468	608.45	8288	show_letter	to_remember	J	1	7	J
18.0071918491	608.4	9005	show_letter	to_remember	C	1	7	C
19.441056726	608.45	9722	show_letter	to_ignore	F	1	7	gF
20.8750216283	608.4	10439	show_letter	to_remember	V	1	7	V
22.3088865052	608.45	11155	show_letter	to_remember	S	1	7	S
23.7428514076	1525.25	11872	show_dash	work_memory	-	1	7	WM
27.0108830265	608.4	13506	show_letter	probe_target	S	1	7	rS
28.5029627174	0.0	14252	left_click	ignored_incorrect	n/a	1	7	255
28.9031645571	0.0	14453	sound_buzz	feedback_incorrect	n/a	1	7	wrong
30.5071727305	0.0	15255	left_click	indicate_ready	n/a	1	7	255
30.5122740287	2508.75	15257	show_cross	fixate	+	2	7	nonWM
35.7478063193	608.45	17875	show_letter	to_remember	Y	2	7	Y
37.1816711962	608.45	18592	show_letter	to_remember	D	2	7	D
38.6156360985	608.45	19309	show_letter	to_remember	Q	2	7	Q
40.0496010009	608.4	20026	show_letter	to_ignore	V	2	7	gV
41.4834658778	608.45	20743	show_letter	to_remember	G	2	7	G
42.9174307801	608.45	21460	show_letter	to_remember	L	2	7	L
44.3513956824	608.4	22177	show_letter	to_remember	F	2	7	F
45.7852605593	608.45	22894	show_letter	to_remember	S	2	7	S
47.2192254617	1233.5	23611	show_dash	work_memory	-	2	7	WM
49.9036085591	341.75	24953	show_letter	probe_target	G	2	7	rG
50.5754795307	0.0	25289	left_click	ignored_incorrect	n/a	2	7	255
50.9756813704	0.0	25489	sound_buzz	feedback_incorrect	n/a	2	7	wrong
52.0785620214	0.0	26040	left_click	indicate_ready	n/a	2	7	255
52.0878643886	2508.75	26045	show_cross	fixate	+	3	3	nonWM
57.3233966792	608.4	28663	show_letter	to_ignore	P	3	3	gP
58.7572615561	608.45	29380	show_letter	to_ignore	R	3	3	gR
60.1912264585	608.45	30097	show_letter	to_remember	K	3	3	K
61.6251913608	608.4	30814	show_letter	to_ignore	W	3	3	gW
63.0590562377	608.45	31531	show_letter	to_remember	C	3	3	C
64.4930211401	608.4	32248	show_letter	to_ignore	Z	3	3	gZ
65.926886017	608.45	32964	show_letter	to_ignore	Y	3	3	gY
67.3608509193	608.45	33681	show_letter	to_remember	X	3	3	X
68.7948158216	1066.8	34398	show_dash	work_memory	-	3	3	WM
71.0456886033	450.1	35524	show_letter	probe_not_shown	B	3	3	rB
71.9357150891	0.0	35969	left_click	ignored_correct	n/a	3	3	255
72.3359169288	0.0	36169	sound_beep	feedback_correct	n/a	3	3	correct
73.5443244334	0.0	36773	left_click	indicate_ready	n/a	3	3	255
73.5467250443	2508.75	36774	show_cross	fixate	+	4	5	nonWM
78.7822573349	608.4	39392	show_letter	to_ignore	H	4	5	gH
80.2161222118	608.45	40109	show_letter	to_remember	T	4	5	T
81.6500871141	608.45	40826	show_letter	to_remember	X	4	5	X
83.0840520165	608.4	41543	show_letter	to_remember	V	4	5	V
84.5179168934	608.45	42260	show_letter	to_ignore	F	4	5	gF
85.9518817957	608.4	42977	show_letter	to_remember	K	4	5	K
87.3857466726	608.45	43694	show_letter	to_ignore	C	4	5	gC
88.8197115749	608.4	44411	show_letter	to_remember	G	4	5	G
90.2535764518	1050.2	45128	show_dash	work_memory	-	4	5	WM
92.5712662364	566.75	46287	show_letter	probe_target	X	4	5	rX
93.6917513673	0.0	46847	left_click	ignored_incorrect	n/a	4	5	255
94.091953207	0.0	47047	sound_buzz	feedback_incorrect	n/a	4	5	wrong
95.3003607116	0.0	47651	left_click	indicate_ready	n/a	4	5	255
95.3057620861	2508.7	47654	show_cross	fixate	+	5	5	nonWM
100.5411943513	608.45	50272	show_letter	to_remember	R	5	5	R
101.9751592536	608.4	50989	show_letter	to_remember	C	5	5	C
103.4090241305	608.45	51706	show_letter	to_ignore	X	5	5	gX
104.8429890328	608.4	52422	show_letter	to_remember	H	5	5	H
106.2769539352	608.4	53139	show_letter	to_remember	N	5	5	N
107.7108188121	608.45	53856	show_letter	to_remember	P	5	5	P
109.1447837144	608.4	54573	show_letter	to_ignore	M	5	5	gM
110.5786485913	608.45	55290	show_letter	to_ignore	L	5	5	gL
112.0126134936	1566.9	56007	show_dash	work_memory	-	5	5	WM
115.3639663154	325.05	57683	show_letter	probe_target	P	5	5	rP
116.001428531	0.0	58002	left_click	ignored_incorrect	n/a	5	5	255
116.4016303707	0.0	58202	sound_buzz	feedback_incorrect	n/a	5	5	wrong
117.5045110218	0.0	58753	left_click	indicate_ready	n/a	5	5	255
117.5149136689	2508.7	58758	show_cross	fixate	+	6	3	nonWM
122.7503459341	608.45	61376	show_letter	to_remember	P	6	3	P
124.1843108365	608.4	62093	show_letter	to_ignore	K	6	3	gK
125.6182757388	608.4	62810	show_letter	to_remember	B	6	3	B
127.0521406157	608.45	63527	show_letter	to_ignore	Y	6	3	gY
128.486105518	608.4	64244	show_letter	to_remember	D	6	3	D
129.9199703949	608.45	64961	show_letter	to_ignore	M	6	3	gM
131.3539352973	608.45	65678	show_letter	to_ignore	C	6	3	gC
132.7879001996	608.4	66395	show_letter	to_ignore	F	6	3	gF
134.2217650765	1558.6	67112	show_dash	work_memory	-	6	3	WM
137.556513673	458.4	68779	show_letter	probe_target	P	6	3	rP
138.4692459368	0.0	69236	left_click	ignored_incorrect	n/a	6	3	255
138.869547802	0.0	69436	sound_buzz	feedback_incorrect	n/a	6	3	wrong
140.4470492302	0.0	70225	left_click	indicate_ready	n/a	6	3	255
140.4576519283	2508.75	70230	show_cross	fixate	+	7	5	nonWM
145.6931842189	608.4	72848	show_letter	to_remember	T	7	5	T
147.1270490958	608.45	73565	show_letter	to_remember	Y	7	5	Y
148.5610139981	608.45	74282	show_letter	to_remember	K	7	5	K
149.9949789005	608.4	74998	show_letter	to_remember	Z	7	5	Z
