onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
8.684	2508.7	4343	show_cross	fixate	+	1	3	nonWM
13.9194305181	608.45	6961	show_letter	to_ignore	N	1	3	gN
15.3533949419	608.4	7678	show_letter	to_ignore	B	1	3	gB
16.7872593403	608.45	8395	show_letter	to_remember	T	1	3	T
18.2212237642	608.45	9112	show_letter	to_remember	S	1	3	S
19.655188188	608.4	9829	show_letter	to_remember	X	1	3	X
21.0890525864	608.45	10546	show_letter	to_ignore	C	1	3	gC
22.5230170102	608.4	11263	show_letter	to_ignore	Q	1	3	gQ
23.9569814341	608.4	11979	show_letter	to_ignore	R	1	3	gR
25.3908458325	1608.6	12696	show_dash	work_memory	-	1	3	WM
28.8256187363	450.05	14414	show_letter	probe_target	S	1	3	rS
29.7099434762	0.0	14856	right_click	remembered_correct	n/a	1	3	1
30.1102452078	0.0	15056	sound_beep	feedback_correct	n/a	1	3	correct
30.6593847647	0.0	15331	left_click	indicate_ready	n/a	1	3	255
30.6763890861	2508.7	15339	show_cross	fixate	+	2	7	nonWM
35.9118196042	608.45	17957	show_letter	to_ignore	Q	2	7	gQ
37.345784028	608.45	18674	show_letter	to_remember	P	2	7	P
38.7797484519	608.4	19391	show_letter	to_remember	H	2	7	H
40.2136128503	608.45	20108	show_letter	to_remember	R	2	7	R
41.6475772741	608.4	20825	show_letter	to_remember	X	2	7	X
43.0814416725	608.45	21542	show_letter	to_remember	C	2	7	C
44.5154060963	608.45	22259	show_letter	to_remember	S	2	7	S
45.9492704947	608.45	22976	show_letter	to_remember	V	2	7	V
47.3832349186	1475.25	23693	show_dash	work_memory	-	2	7	WM
50.5512400268	558.4	25277	show_letter	probe_not_shown	Z	2	7	rZ
51.6511195472	0.0	25827	left_click	ignored_correct	n/a	2	7	255
52.0514212788	0.0	26027	sound_beep	feedback_correct	n/a	2	7	correct
53.1279948763	0.0	26565	left_click	indicate_ready	n/a	2	7	255
53.1355968082	2508.75	26569	show_cross	fixate	+	3	7	nonWM
58.3711273517	608.45	29187	show_letter	to_remember	W	3	7	W
59.8049917501	608.45	29903	show_letter	to_remember	L	3	7	L
61.238956174	608.45	30620	show_letter	to_remember	D	3	7	D
62.6729205978	608.4	31337	show_letter	to_remember	J	3	7	J
64.1067849962	608.45	32054	show_letter	to_remember	C	3	7	C
65.54074942	608.4	32771	show_letter	to_ignore	F	3	7	gF
66.9747138439	608.4	33488	show_letter	to_remember	V	3	7	V
68.4085782423	608.45	34205	show_letter	to_remember	S	3	7	S
69.8425426661	1525.25	34922	show_dash	work_memory	-	3	7	WM
