onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
4.008	1257.075	1003	show_cross	fixate	+	1	5	nonWM
9.2542874918	305.975	2315	show_letter	to_remember	L	1	5	L
10.6960840543	305.925	2675	show_letter	to_remember	F	1	5	F
12.137780617	305.7	3035	show_letter	to_ignore	M	1	5	gM
13.5785771819	305.95	3396	show_letter	to_ignore	J	1	5	gJ
15.0203737444	305.95	3756	show_letter	to_remember	K	1	5	K
16.4621703069	305.7	4117	show_letter	to_ignore	N	1	5	gN
17.9029668717	305.95	4477	show_letter	to_remember	R	1	5	R
19.3446634345	305.95	4837	show_letter	to_remember	H	1	5	H
20.7865599967	879.85	5198	show_dash	work_memory	-	1	5	WM
24.523951086	305.95	6132	show_letter	probe_not_shown	G	1	5	rG
26.4830464152	0.0	6622	left_click	ignored_correct	n/a	1	5	255
26.883245461	0.0	6722	sound_beep	feedback_correct	n/a	1	5	correct
28.592441386	0.0	7149	left_click	indicate_ready	n/a	1	5	255
28.614241334	1257.075	7155	show_cross	fixate	+	2	5	nonWM
33.8604288261	305.975	8466	show_letter	to_ignore	C	2	5	gC
35.3022253886	305.7	8827	show_letter	to_ignore	P	2	5	gP
36.7430219534	305.95	9187	show_letter	to_remember	X	2	5	X
38.1848185159	305.975	9547	show_letter	to_ignore	Z	2	5	gZ
39.6266150784	305.95	9908	show_letter	to_remember	T	2	5	T
41.0684116409	305.7	10268	show_letter	to_remember	Y	2	5	Y
42.509108206	305.975	10628	show_letter	to_remember	J	2	5	J
43.9509047685	305.95	10989	show_letter	to_remember	B	2	5	B
45.3927013309	791.875	11349	show_dash	work_memory	-	2	5	WM
48.7781932593	263.95	12196	show_letter	probe_not_shown	H	2	5	rH
49.8172907819	0.0	12455	left_click	ignored_correct	n/a	2	5	255
50.217389828	0.0	12555	sound_beep	feedback_correct	n/a	2	5	correct
50.5818889589	0.0	12646	left_click	indicate_ready	n/a	2	5	255
50.6048889041	1257.325	12652	show_cross	fixate	+	3	3	nonWM
55.8680763556	305.95	13968	show_letter	to_ignore	D	3	3	gD
57.3098729181	305.975	14328	show_letter	to_ignore	V	3	3	gV
58.7516694806	305.95	14689	show_letter	to_remember	G	3	3	G
60.1934660431	305.7	15049	show_letter	to_ignore	H	3	3	gH
61.6341626082	305.975	15410	show_letter	to_ignore	P	3	3	gP
63.0759591707	305.975	15770	show_letter	to_ignore	J	3	3	gJ
64.5177557332	305.7	16130	show_letter	to_remember	M	3	3	M
65.958552298	305.95	16491	show_letter	to_remember	Z	3	3	Z
67.4003488605	586.65	16851	show_dash	work_memory	-	3	3	WM
69.964942746	305.975	17492	show_letter	probe_not_shown	Y	3	3	rY
71.7539384807	0.0	17939	left_click	ignored_correct	n/a	3	3	255
72.1540375268	0.0	18040	sound_beep	feedback_correct	n/a	3	3	correct
72.755836092	0.0	18190	left_click	indicate_ready	n/a	3	3	255
72.7805360331	1257.3	18196	show_cross	fixate	+	4	7	nonWM
78.0277235228	305.7	19508	show_letter	to_ignore	J	4	7	gJ
79.4685200877	305.95	19868	show_letter	to_remember	T	4	7	T
80.9102166504	306.0	20229	show_letter	to_remember	V	4	7	V
82.3521132126	305.925	20589	show_letter	to_remember	D	4	7	D
83.7938097754	305.7	20949	show_letter	to_remember	X	4	7	X
85.2346063402	305.95	21310	show_letter	to_remember	G	4	7	G
86.6764029027	305.95	21670	show_letter	to_remember	N	4	7	N
88.1181994652	305.7	22031	show_letter	to_remember	R	4	7	R
89.5588960303	846.625	22391	show_dash	work_memory	-	4	7	WM
93.1633874365	305.7	23292	show_letter	probe_target	R	4	7	rR
95.8788809622	0.0	23971	left_click	ignored_incorrect	n/a	4	7	255
96.2790800081	0.0	24071	sound_buzz	feedback_incorrect	n/a	4	7	wrong
97.0917780704	0.0	24274	left_click	indicate_ready	n/a	4	7	255
97.1187780061	1257.05	24281	show_cross	fixate	+	5	3	nonWM
102.3649654982	305.95	25592	show_letter	to_ignore	D	5	3	gD
103.8067620606	305.95	25953	show_letter	to_ignore	C	5	3	gC
105.2485586231	305.7	26313	show_letter	to_remember	R	5	3	R
106.6892551882	305.975	26673	show_letter	to_ignore	G	5	3	gG
108.1310517507	305.975	27034	show_letter	to_remember	Z	5	3	Z
109.5728483132	305.95	27394	show_letter	to_ignore	X	5	3	gX
111.0146448757	305.7	27755	show_letter	to_ignore	L	5	3	gL
112.4554414405	305.95	28115	show_letter	to_remember	K	5	3	K
113.897238003	796.125	28475	show_dash	work_memory	-	5	3	WM
117.2997298908	213.7	29326	show_letter	probe_target	K	5	3	rK
118.1318279069	0.0	29534	right_click	remembered_correct	n/a	5	3	1
118.5320269528	0.0	29634	sound_beep	feedback_correct	n/a	5	3	correct
118.7646263982	0.0	29692	right_click	indicate_ready	n/a	5	3	1
118.7914263343	1257.075	29699	show_cross	fixate	+	6	7	nonWM
124.0376138264	305.95	31010	show_letter	to_remember	F	6	7	F
