onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.724	1257.075	932	show_cross	fixate	+	1	3	nonWM
8.9702874918	305.95	2244	show_letter	to_ignore	D	1	3	gD
10.4120840543	305.95	2604	show_letter	to_ignore	C	1	3	gC
11.853780617	305.7	2964	show_letter	to_remember	R	1	3	R
13.2945771819	305.95	3325	show_letter	to_ignore	G	1	3	gG
14.7363737444	305.975	3685	show_letter	to_remember	Z	1	3	Z
16.1781703069	305.95	4046	show_letter	to_ignore	X	1	3	gX
17.618866872	305.975	4406	show_letter	to_ignore	L	1	3	gL
19.0606634345	305.975	4766	show_letter	to_remember	K	1	3	K
20.5024599969	796.125	5127	show_dash	work_memory	-	1	3	WM
23.9049518847	163.225	5977	show_letter	probe_target	K	1	3	rK
24.5260504039	0.0	6133	right_click	remembered_correct	n/a	1	3	1
24.92614945	0.0	6233	sound_beep	feedback_correct	n/a	1	3	correct
34.7311260731	0.0	8684	left_click	indicate_ready	n/a	1	3	255
34.7493260297	1257.3	8688	show_cross	fixate	+	2	3	nonWM
39.9965135194	305.7	10000	show_letter	to_remember	B	2	3	B
41.4373100842	305.95	10360	show_letter	to_ignore	F	2	3	gF
42.879006647	305.95	10721	show_letter	to_ignore	H	2	3	gH
44.3209032092	305.925	11081	show_letter	to_remember	R	2	3	R
45.7625997719	305.7	11442	show_letter	to_ignore	Z	2	3	gZ
47.2033963368	305.95	11802	show_letter	to_remember	G	2	3	G
48.6451928993	305.975	12162	show_letter	to_ignore	M	2	3	gM
50.0869894618	305.95	12523	show_letter	to_ignore	V	2	3	gV
51.5276860269	825.625	12883	show_dash	work_memory	-	2	3	WM
55.0481776333	192.725	13763	show_letter	probe_target	B	2	3	rB
55.8004758397	0.0	13951	right_click	remembered_correct	n/a	2	3	1
56.2006748856	0.0	14051	sound_beep	feedback_correct	n/a	2	3	correct
62.6038596191	0.0	15652	left_click	indicate_ready	n/a	2	3	255
62.624059571	1257.3	15657	show_cross	fixate	+	3	7	nonWM
67.8712470607	305.7	16969	show_letter	to_ignore	J	3	7	gJ
69.3120436255	305.95	17329	show_letter	to_remember	T	3	7	T
70.7537401883	305.975	17689	show_letter	to_remember	V	3	7	V
72.1955367507	305.95	18050	show_letter	to_remember	D	3	7	D
73.6363333156	305.95	18410	show_letter	to_remember	X	3	7	X
75.0781298781	305.95	18771	show_letter	to_remember	G	3	7	G
76.5199264406	305.95	19131	show_letter	to_remember	N	3	7	N
77.9616230033	305.725	19491	show_letter	to_remember	R	3	7	R
79.4024195682	846.625	19852	show_dash	work_memory	-	3	7	WM
83.0069109744	263.975	20753	show_letter	probe_target	R	3	7	rR
84.042208506	0.0	21012	right_click	remembered_correct	n/a	3	7	1
84.4423075521	0.0	21112	sound_beep	feedback_correct	n/a	3	7	correct
88.2349985096	0.0	22060	left_click	indicate_ready	n/a	3	7	255
88.253298466	1257.0	22064	show_cross	fixate	+	4	7	nonWM
93.4992859585	305.95	23376	show_letter	to_remember	Y	4	7	Y
94.941082521	305.95	23736	show_letter	to_remember	S	4	7	S
96.3828790835	305.7	24097	show_letter	to_remember	N	4	7	N
97.8236756484	305.95	24457	show_letter	to_remember	M	4	7	M
99.2653722111	305.975	24817	show_letter	to_remember	F	4	7	F
100.7071687736	305.7	25178	show_letter	to_remember	Q	4	7	Q
102.1479653384	305.95	25538	show_letter	to_remember	H	4	7	H
103.5897619009	305.95	25898	show_letter	to_ignore	W	4	7	gW
105.0316584631	615.875	26259	show_dash	work_memory	-	4	7	WM
107.71315207	247.2	26929	show_letter	probe_target	N	4	7	rN
108.6712497857	0.0	27169	right_click	remembered_correct	n/a	4	7	1
109.0713488317	0.0	27269	sound_beep	feedback_correct	n/a	4	7	correct
121.4867192311	0.0	30373	left_click	indicate_ready	n/a	4	7	255
121.5080191803	1257.05	30378	show_cross	fixate	+	5	7	nonWM
126.7542066724	305.925	31690	show_letter	to_remember	J	5	7	J
128.1960032349	305.975	32050	show_letter	to_remember	T	5	7	T
129.6377997974	305.95	32410	show_letter	to_remember	L	5	7	L
131.0784963625	305.95	32771	show_letter	to_remember	X	5	7	X
132.520292925	305.95	33131	show_letter	to_remember	S	5	7	S
133.9619894877	305.975	33491	show_letter	to_remember	G	5	7	G
135.4038860499	305.7	33852	show_letter	to_remember	Q	5	7	Q
136.8446826148	305.95	34212	show_letter	to_ignore	R	5	7	gR
138.2864791773	611.9	34573	show_dash	work_memory	-	5	7	WM
140.9519728222	221.975	35239	show_letter	probe_not_shown	Y	5	7	rY
141.8175707585	0.0	35455	left_click	ignored_correct	n/a	5	7	255
142.2176698046	0.0	35555	sound_beep	feedback_correct	n/a	5	7	correct
145.720161454	0.0	36431	right_click	indicate_ready	n/a	5	7	1
145.7452613941	1257.075	36437	show_cross	fixate	+	6	5	nonWM
150.9914488862	305.95	37749	show_letter	to_ignore	Z	6	5	gZ
152.4332454487	305.95	38109	show_letter	to_ignore	C	6	5	gC
153.8751420109	305.925	38470	show_letter	to_remember	R	6	5	R
155.3168385736	305.7	38830	show_letter	to_remember	F	6	5	F
156.7576351385	305.95	39190	show_letter	to_remember	Q	6	5	Q
158.199431701	305.95	39551	show_letter	to_remember	V	6	5	V
159.6411282637	305.725	39911	show_letter	to_remember	P	6	5	P
161.0819248286	305.95	40271	show_letter	to_ignore	N	6	5	gN
162.5237213911	900.85	40632	show_dash	work_memory	-	6	5	WM
166.3451122801	243.225	41587	show_letter	probe_target	F	6	5	rF
167.2902100268	0.0	41824	right_click	remembered_correct	n/a	6	5	1
167.6904090727	0.0	41924	sound_beep	feedback_correct	n/a	6	5	correct
170.6128021051	0.0	42654	left_click	indicate_ready	n/a	6	5	255
170.6365020486	1257.05	42660	show_cross	fixate	+	7	5	nonWM
175.8826895407	305.95	43972	show_letter	to_ignore	Z	7	5	gZ
177.3244861032	305.95	44332	show_letter	to_remember	W	7	5	W
178.7661826659	305.725	44693	show_letter	to_ignore	T	7	5	gT
180.2069792308	305.95	45053	show_letter	to_remember	R	7	5	R
181.6487757933	305.95	45413	show_letter	to_remember	H	7	5	H
183.0905723557	305.95	45774	show_letter	to_remember	L	7	5	L
184.5323689182	305.7	46134	show_letter	to_remember	D	7	5	D
