onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
2.4	1257.05	601	show_cross	fixate	+	1	5	nonWM
7.6460859914	305.975	1913	show_letter	to_ignore	J	1	5	gJ
9.0878821414	305.975	2273	show_letter	to_remember	Q	1	5	Q
10.5296782914	305.95	2633	show_letter	to_ignore	K	1	5	gK
11.970474444	305.95	2994	show_letter	to_remember	F	1	5	F
13.412270594	305.95	3354	show_letter	to_remember	Z	1	5	Z
14.854066744	305.95	3715	show_letter	to_remember	W	1	5	W
16.2958628939	305.7	4075	show_letter	to_ignore	M	1	5	gM
17.7365590469	305.95	4435	show_letter	to_remember	H	1	5	H
19.1783551968	699.9	4796	show_dash	work_memory	-	1	5	WM
22.195947139	213.7	5550	show_letter	probe_not_shown	B	1	5	rB
23.0222449325	0.0	5757	left_click	ignored_correct	n/a	1	5	255
23.4223438641	0.0	5857	sound_beep	feedback_correct	n/a	1	5	correct
27.5050329622	0.0	6877	right_click	indicate_ready	n/a	1	5	1
27.5261329058	1257.05	6883	show_cross	fixate	+	2	7	nonWM
32.7724188967	305.925	8194	show_letter	to_remember	L	2	7	L
34.2140150472	305.725	8555	show_letter	to_remember	K	2	7	K
35.6548111998	305.975	8915	show_letter	to_remember	G	2	7	G
37.0966073498	305.975	9275	show_letter	to_remember	Z	2	7	Z
38.5384034998	305.95	9636	show_letter	to_remember	H	2	7	H
39.9791996524	305.95	9996	show_letter	to_remember	W	2	7	W
41.4209958024	305.95	10356	show_letter	to_ignore	M	2	7	gM
42.8626919527	305.975	10717	show_letter	to_remember	D	2	7	D
44.3044881026	951.125	11077	show_dash	work_memory	-	2	7	WM
48.3268773617	217.975	12083	show_letter	probe_not_shown	Q	2	7	rQ
49.1804750823	0.0	12296	left_click	ignored_correct	n/a	2	7	255
49.5805740139	0.0	12396	sound_beep	feedback_correct	n/a	2	7	correct
53.2412642388	0.0	13311	right_click	indicate_ready	n/a	2	7	1
53.271164159	1257.3	13319	show_cross	fixate	+	3	5	nonWM
58.5183501474	305.7	14631	show_letter	to_remember	M	3	5	M
59.9591463001	305.95	14991	show_letter	to_remember	R	3	5	R
61.4008424503	305.975	15351	show_letter	to_remember	L	3	5	L
62.8428385998	305.9	15712	show_letter	to_ignore	X	3	5	gX
64.2844347503	305.7	16072	show_letter	to_ignore	G	3	5	gG
65.7252309029	305.95	16432	show_letter	to_remember	W	3	5	W
67.1670270529	305.975	16793	show_letter	to_remember	F	3	5	F
68.6088232029	305.95	17153	show_letter	to_ignore	D	3	5	gD
70.0496193555	549.15	17513	show_dash	work_memory	-	3	5	WM
72.4642129079	267.95	18117	show_letter	probe_target	F	3	5	rF
73.519110091	0.0	18381	right_click	remembered_correct	n/a	3	5	1
73.9195090218	0.0	18481	sound_beep	feedback_correct	n/a	3	5	correct
83.4075836858	0.0	20853	left_click	indicate_ready	n/a	3	5	255
83.425483638	1257.325	20857	show_cross	fixate	+	4	7	nonWM
