onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.112	1257.075	779	show_cross	fixate	+	1	5	nonWM
8.3582759843	305.95	2091	show_letter	to_ignore	B	1	5	gB
9.7999693848	305.725	2451	show_letter	to_ignore	H	1	5	gH
11.2407627893	305.95	2811	show_letter	to_remember	D	1	5	D
12.6824561897	305.975	3172	show_letter	to_remember	R	1	5	R
14.1244495888	305.925	3532	show_letter	to_remember	N	1	5	N
15.5661429892	305.7	3893	show_letter	to_remember	Z	1	5	Z
17.0069363937	305.95	4253	show_letter	to_remember	V	1	5	V
18.4486297942	305.975	4613	show_letter	to_ignore	L	1	5	gL
19.8904231941	750.15	4974	show_dash	work_memory	-	1	5	WM
23.1079084656	305.95	5778	show_letter	probe_target	R	1	5	rR
24.3475027911	0.0	6088	right_click	remembered_correct	n/a	1	5	1
29.3564798618	0.0	7340	right_click	indicate_ready	n/a	1	5	1
29.3769797679	1257.3	7345	show_cross	fixate	+	2	7	nonWM
34.6231557527	305.95	8657	show_letter	to_ignore	C	2	7	gC
36.0649491527	305.95	9017	show_letter	to_remember	Z	2	7	Z
37.5067425526	305.95	9378	show_letter	to_remember	L	2	7	L
38.9484359531	305.725	9738	show_letter	to_remember	K	2	7	K
40.3892293576	305.975	10098	show_letter	to_remember	R	2	7	R
41.8310227576	306.0	10459	show_letter	to_remember	G	2	7	G
43.2729161571	305.925	10819	show_letter	to_remember	B	2	7	B
44.7146095575	305.7	11180	show_letter	to_remember	T	2	7	T
46.1553029625	519.675	11540	show_dash	work_memory	-	2	7	WM
48.451992449	226.225	12114	show_letter	probe_target	Z	2	7	rZ
49.3394883864	0.0	12336	right_click	remembered_correct	n/a	2	7	1
50.3676836797	0.0	12593	right_click	indicate_ready	n/a	2	7	1
50.3966835469	1257.1	12600	show_cross	fixate	+	3	7	nonWM
55.6429595312	305.925	13912	show_letter	to_remember	W	3	7	W
57.0846529317	305.7	14272	show_letter	to_remember	K	3	7	K
58.5254463362	305.95	14632	show_letter	to_remember	M	3	7	M
59.9672397362	305.95	14993	show_letter	to_remember	C	3	7	C
61.4090331361	305.7	15353	show_letter	to_remember	Q	3	7	Q
62.8497265411	305.975	15713	show_letter	to_ignore	G	3	7	gG
64.2915199411	305.95	16074	show_letter	to_remember	B	3	7	B
65.7334133406	305.925	16434	show_letter	to_remember	T	3	7	T
67.175106741	578.15	16795	show_dash	work_memory	-	3	7	WM
69.7056951569	234.725	17427	show_letter	probe_target	B	3	7	rB
70.6142909976	0.0	17655	right_click	remembered_correct	n/a	3	7	1
71.3260877393	0.0	17833	right_click	indicate_ready	n/a	3	7	1
71.3485876363	1257.025	17838	show_cross	fixate	+	4	3	nonWM
76.5946636215	305.975	19150	show_letter	to_remember	Q	4	3	Q
78.0364570215	305.95	19510	show_letter	to_ignore	P	4	3	gP
79.4771504265	305.95	19870	show_letter	to_remember	J	4	3	J
