onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
6.26	0.0	1566	right_click	remembered_correct	n/a	0	0	1
6.26	0.0	1566	right_click	remembered_correct	n/a	0	0	1
7.2816959077	1257.3	1821	show_cross	fixate	+	1	5	nonWM
12.5288748903	305.7	3133	show_letter	to_ignore	J	1	5	gJ
13.9695691197	305.975	3493	show_letter	to_remember	Q	1	5	Q
15.4113633447	305.95	3854	show_letter	to_ignore	K	1	5	gK
16.8531575697	305.7	4214	show_letter	to_remember	F	1	5	F
18.2939517986	305.95	4574	show_letter	to_remember	Z	1	5	Z
19.7357460236	305.95	4935	show_letter	to_remember	W	1	5	W
21.1776402482	305.925	5295	show_letter	to_ignore	M	1	5	gM
22.6192344739	305.7	5656	show_letter	to_remember	H	1	5	H
24.0600287029	699.9	6016	show_dash	work_memory	-	1	5	WM
27.0777166157	289.175	6770	show_letter	probe_not_shown	B	1	5	rB
28.2104120788	0.0	7054	left_click	ignored_correct	n/a	1	5	255
28.6106104758	0.0	7154	sound_beep	feedback_correct	n/a	1	5	correct
31.0576006745	0.0	7765	right_click	indicate_ready	n/a	1	5	1
31.0830005728	1257.3	7772	show_cross	fixate	+	2	7	nonWM
36.3301795555	305.7	9084	show_letter	to_remember	L	2	7	L
37.7709737844	305.95	9444	show_letter	to_remember	K	2	7	K
39.2126680098	305.95	9804	show_letter	to_remember	G	2	7	G
40.6545622344	305.925	10165	show_letter	to_remember	Z	2	7	Z
42.0962564597	305.7	10525	show_letter	to_remember	H	2	7	H
43.5370506887	305.95	10885	show_letter	to_remember	W	2	7	W
44.9788449137	305.95	11246	show_letter	to_ignore	M	2	7	gM
46.4206391386	305.925	11606	show_letter	to_remember	D	2	7	D
47.861333368	947.125	11966	show_dash	work_memory	-	2	7	WM
51.8677173207	268.225	12968	show_letter	probe_not_shown	Q	2	7	rQ
52.912213137	0.0	13229	right_click	remembered_incorrect	n/a	2	7	1
53.3123115344	0.0	13329	sound_buzz	feedback_incorrect	n/a	2	7	wrong
57.6047943411	0.0	14402	right_click	indicate_ready	n/a	2	7	1
57.6337942249	1257.075	14409	show_cross	fixate	+	3	3	nonWM
62.8800732112	305.95	15721	show_letter	to_ignore	Z	3	3	gZ
64.3217674366	305.975	16081	show_letter	to_remember	K	3	3	K
65.7635616616	305.7	16442	show_letter	to_ignore	H	3	3	gH
67.2043558905	305.95	16802	show_letter	to_remember	P	3	3	P
68.6461501155	305.95	17163	show_letter	to_remember	C	3	3	C
70.0880443401	305.925	17523	show_letter	to_ignore	S	3	3	gS
71.5297385654	305.7	17883	show_letter	to_ignore	V	3	3	gV
72.9704327948	305.95	18244	show_letter	to_ignore	X	3	3	gX
74.4121270202	720.675	18604	show_dash	work_memory	-	3	3	WM
77.5127146009	305.975	19379	show_letter	probe_target	C	3	3	rC
80.3294033188	0.0	20083	right_click	remembered_correct	n/a	3	3	1
80.7295017163	0.0	20183	sound_beep	feedback_correct	n/a	3	3	correct
82.148396033	0.0	20538	right_click	indicate_ready	n/a	3	3	1
82.1731959336	1257.025	20544	show_cross	fixate	+	4	5	nonWM
87.4192749207	305.975	21856	show_letter	to_remember	R	4	5	R
88.8610691457	305.925	22216	show_letter	to_ignore	B	4	5	gB
90.3017633751	305.95	22576	show_letter	to_remember	Y	4	5	Y
91.7435576	305.95	22937	show_letter	to_remember	C	4	5	C
93.185351825	305.95	23297	show_letter	to_ignore	Q	4	5	gQ
94.62714605	305.95	23658	show_letter	to_ignore	F	4	5	gF
96.0678402794	305.975	24018	show_letter	to_remember	N	4	5	N
97.5096345043	305.975	24378	show_letter	to_remember	L	4	5	L
98.9515287289	628.375	24739	show_dash	work_memory	-	4	5	WM
101.683017788	264.225	25422	show_letter	probe_not_shown	Z	4	5	rZ
102.7112136697	0.0	25679	left_click	ignored_correct	n/a	4	5	255
103.1113120671	0.0	25779	sound_beep	feedback_correct	n/a	4	5	correct
104.1875077564	0.0	26048	right_click	indicate_ready	n/a	4	5	1
104.2147076475	1257.05	26055	show_cross	fixate	+	5	7	nonWM
109.4607866346	305.975	27366	show_letter	to_remember	F	5	7	F
110.9025808596	305.95	27727	show_letter	to_remember	W	5	7	W
112.3433750885	305.95	28087	show_letter	to_remember	C	5	7	C
113.7851693135	305.95	28447	show_letter	to_ignore	R	5	7	gR
115.2269635385	305.95	28808	show_letter	to_remember	N	5	7	N
116.6687577634	305.7	29168	show_letter	to_remember	Q	5	7	Q
118.1094519928	305.975	29528	show_letter	to_remember	H	5	7	H
119.5512462178	305.975	29889	show_letter	to_remember	S	5	7	S
120.9930404428	993.1	30249	show_dash	work_memory	-	5	7	WM
125.183523658	305.925	31297	show_letter	probe_not_shown	J	5	7	rJ
126.4112187405	0.0	31604	left_click	ignored_correct	n/a	5	7	255
126.8114171375	0.0	31704	sound_beep	feedback_correct	n/a	5	7	correct
128.1512117711	0.0	32039	right_click	indicate_ready	n/a	5	7	1
128.1838116405	1257.075	32047	show_cross	fixate	+	6	7	nonWM
133.4301906264	305.925	33359	show_letter	to_remember	Z	6	7	Z
134.8718848518	305.7	33719	show_letter	to_remember	P	6	7	P
136.3125790811	305.975	34079	show_letter	to_remember	W	6	7	W
137.7544733057	305.95	34440	show_letter	to_remember	Q	6	7	Q
139.1962675307	305.95	34800	show_letter	to_ignore	B	6	7	gB
140.63696176	305.95	35160	show_letter	to_remember	G	6	7	G
142.078755985	305.95	35521	show_letter	to_remember	J	6	7	J
