onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
14.852	1257.3	3714	show_cross	fixate	+	1	5	nonWM
20.099174479	305.7	5026	show_letter	to_remember	K	1	5	K
21.5398674718	305.95	5386	show_letter	to_ignore	C	1	5	gC
22.9816604593	305.975	5746	show_letter	to_remember	J	1	5	J
24.4234534467	305.95	6107	show_letter	to_ignore	Y	1	5	gY
25.864246439	305.95	6467	show_letter	to_remember	L	1	5	L
27.3060394265	305.95	6828	show_letter	to_remember	D	1	5	D
28.7477324145	305.975	7188	show_letter	to_remember	M	1	5	M
30.1895254019	305.7	7548	show_letter	to_ignore	S	1	5	gS
31.6303183942	515.425	7909	show_dash	work_memory	-	1	5	WM
33.9100073064	289.2	8479	show_letter	probe_target	J	1	5	rJ
35.044801787	0.0	8762	right_click	remembered_correct	n/a	1	5	1
35.4449998405	0.0	8862	sound_beep	feedback_correct	n/a	1	5	correct
39.4473803739	0.0	9863	right_click	indicate_ready	n/a	1	5	1
39.4750802392	1257.075	9870	show_cross	fixate	+	2	3	nonWM
44.7213547225	305.95	11181	show_letter	to_ignore	J	2	3	gJ
46.1630477105	305.975	11542	show_letter	to_ignore	C	2	3	gC
47.604840698	305.7	11902	show_letter	to_ignore	L	2	3	gL
49.0456336903	305.95	12262	show_letter	to_remember	S	2	3	S
50.4874266777	305.95	12623	show_letter	to_remember	G	2	3	G
51.9292196652	305.95	12983	show_letter	to_remember	V	2	3	V
53.3709126532	305.725	13344	show_letter	to_ignore	R	2	3	gR
54.8117056455	305.95	13704	show_letter	to_ignore	T	2	3	gT
56.2534986329	557.425	14064	show_dash	work_memory	-	2	3	WM
58.7010867284	305.725	14676	show_letter	probe_target	V	2	3	rV
60.0627801055	0.0	15017	right_click	remembered_correct	n/a	2	3	1
60.4628781595	0.0	15117	sound_beep	feedback_correct	n/a	2	3	correct
64.3863590766	0.0	16098	right_click	indicate_ready	n/a	2	3	1
64.4162589312	1257.05	16105	show_cross	fixate	+	3	7	nonWM
69.6624334151	305.95	17417	show_letter	to_remember	J	3	7	J
71.1042264025	305.95	17777	show_letter	to_remember	C	3	7	C
72.54601939	305.925	18138	show_letter	to_remember	F	3	7	F
73.9877123779	305.725	18498	show_letter	to_remember	M	3	7	M
75.4285053703	305.95	18858	show_letter	to_ignore	L	3	7	gL
76.8702983577	305.95	19219	show_letter	to_remember	K	3	7	K
78.3120913452	305.7	19579	show_letter	to_remember	Q	3	7	Q
79.752784338	305.975	19939	show_letter	to_remember	W	3	7	W
81.1945773254	569.925	20300	show_dash	work_memory	-	3	7	WM
83.6922651773	305.95	20924	show_letter	probe_not_shown	B	3	7	rB
85.9512541901	0.0	21489	left_click	ignored_correct	n/a	3	7	255
86.3513522441	0.0	21589	sound_beep	feedback_correct	n/a	3	7	correct
97.3665986686	0.0	24343	right_click	indicate_ready	n/a	3	7	1
97.3860985737	1257.3	24348	show_cross	fixate	+	4	5	nonWM
102.6332730527	305.7	25659	show_letter	to_remember	K	4	5	K
104.074066045	305.95	26020	show_letter	to_ignore	Z	4	5	gZ
105.5158590325	305.975	26380	show_letter	to_remember	J	4	5	J
106.95765202	305.95	26740	show_letter	to_remember	V	4	5	V
108.3983450128	305.975	27101	show_letter	to_remember	R	4	5	R
109.8401380002	305.95	27461	show_letter	to_ignore	H	4	5	gH
111.2819309877	305.95	27821	show_letter	to_ignore	M	4	5	gM
112.7237239752	305.7	28182	show_letter	to_remember	S	4	5	S
114.1645169675	754.375	28542	show_dash	work_memory	-	4	5	WM
117.4000012309	301.7	29351	show_letter	probe_target	R	4	5	rR
118.5884954503	0.0	29648	right_click	remembered_correct	n/a	4	5	1
118.9887935034	0.0	29748	sound_beep	feedback_correct	n/a	4	5	correct
126.1281587792	0.0	31533	right_click	indicate_ready	n/a	4	5	1
126.1496586746	1257.05	31538	show_cross	fixate	+	5	5	nonWM
131.3958331585	305.95	32850	show_letter	to_ignore	Z	5	5	gZ
132.8376261459	305.925	33210	show_letter	to_remember	T	5	5	T
134.2783191387	305.95	33571	show_letter	to_remember	M	5	5	M
135.7201121262	305.95	33931	show_letter	to_remember	S	5	5	S
137.1619051136	305.95	34291	show_letter	to_ignore	Y	5	5	gY
138.6036981011	305.7	34652	show_letter	to_remember	V	5	5	V
140.0444910934	305.95	35012	show_letter	to_remember	N	5	5	N
141.4861840814	306.0	35373	show_letter	to_ignore	H	5	5	gH
142.9280770684	544.65	35733	show_dash	work_memory	-	5	5	WM
145.3246654119	305.975	36332	show_letter	probe_not_shown	Q	5	5	rQ
146.8760578663	0.0	36720	left_click	ignored_correct	n/a	5	5	255
147.2762559198	0.0	36820	sound_beep	feedback_correct	n/a	5	5	correct
148.6688491466	0.0	37168	right_click	indicate_ready	n/a	5	5	1
