onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
4.088	1254.35	1023	show_cross	fixate	+	1	3	nonWM
9.3220880201	304.225	2332	show_letter	to_ignore	J	1	3	gJ
10.7556847388	304.2	2690	show_letter	to_ignore	C	1	3	gC
12.1891814578	304.225	3048	show_letter	to_ignore	L	1	3	gL
13.6227781766	304.225	3407	show_letter	to_remember	S	1	3	S
15.0563748953	304.2	3765	show_letter	to_remember	G	1	3	G
16.4898716143	304.225	4123	show_letter	to_remember	V	1	3	V
17.9234683331	304.2	4482	show_letter	to_ignore	R	1	3	gR
19.356965052	304.225	4840	show_letter	to_ignore	T	1	3	gT
20.7905617708	550.075	5199	show_dash	work_memory	-	1	3	WM
23.2075562387	170.875	5803	show_letter	probe_target	V	1	3	rV
23.885054688	0.0	5972	right_click	remembered_correct	n/a	1	3	1
24.285253772	0.0	6072	sound_beep	feedback_correct	n/a	1	3	correct
24.5179532394	0.0	6130	left_click	indicate_ready	n/a	1	3	255
24.5244532246	1254.375	6132	show_cross	fixate	+	2	7	nonWM
29.7586412444	304.2	7441	show_letter	to_remember	W	2	7	W
31.1921379634	304.225	7799	show_letter	to_remember	Z	2	7	Z
32.6257346822	304.2	8157	show_letter	to_remember	V	2	7	V
34.0592314011	304.225	8516	show_letter	to_remember	D	2	7	D
35.4928281199	304.225	8874	show_letter	to_ignore	F	2	7	gF
36.9264248386	304.2	9233	show_letter	to_remember	X	2	7	X
38.3599215576	304.225	9591	show_letter	to_remember	M	2	7	M
39.7935182764	304.2	9949	show_letter	to_remember	Y	2	7	Y
41.2271149951	616.75	10308	show_dash	work_memory	-	2	7	WM
43.9108088526	304.225	10979	show_letter	probe_not_shown	G	2	7	rG
45.2957056828	0.0	11325	left_click	ignored_correct	n/a	2	7	255
45.6959047668	0.0	11425	sound_beep	feedback_correct	n/a	2	7	correct
46.0868038721	0.0	11523	right_click	indicate_ready	n/a	2	7	1
46.0945038545	1254.325	11525	show_cross	fixate	+	3	5	nonWM
51.3285918746	304.225	12833	show_letter	to_ignore	B	3	5	gB
52.7621885934	304.225	13192	show_letter	to_ignore	H	3	5	gH
54.1957853121	304.2	13550	show_letter	to_remember	D	3	5	D
55.6292820311	304.225	13908	show_letter	to_remember	R	3	5	R
