onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
7.774	2508.7	3888	show_cross	fixate	+	1	7	nonWM
13.0094345114	608.45	6506	show_letter	to_remember	B	1	7	B
14.443400029	608.4	7223	show_letter	to_remember	N	1	7	N
15.8772655211	608.45	7940	show_letter	to_remember	R	1	7	R
17.3110309877	608.5	8657	show_letter	to_remember	G	1	7	G
18.7451965562	608.4	9374	show_letter	to_remember	Y	1	7	Y
20.1790620483	608.45	10091	show_letter	to_remember	Z	1	7	Z
21.6130275659	608.4	10808	show_letter	to_remember	M	1	7	M
23.046893058	608.45	11524	show_letter	to_ignore	X	1	7	gX
24.4808585755	1166.85	12241	show_dash	work_memory	-	1	7	WM
27.0319088378	458.4	13517	show_letter	probe_target	Z	1	7	rZ
27.9461418757	0.0	13974	right_click	remembered_correct	n/a	1	7	1
28.3463438871	0.0	14174	sound_beep	feedback_correct	n/a	1	7	correct
28.6317166286	0.0	14317	left_click	indicate_ready	n/a	1	7	255
28.6492210905	2500.4	14326	show_cross	fixate	+	2	7	nonWM
33.8680513695	608.45	16935	show_letter	to_ignore	P	2	7	gP
35.302016887	608.4	17652	show_letter	to_remember	W	2	7	W
36.7358823791	608.45	18369	show_letter	to_remember	F	2	7	F
38.1698478967	608.45	19086	show_letter	to_remember	S	2	7	S
39.6038134143	608.4	19803	show_letter	to_remember	Z	2	7	Z
41.0376789064	608.45	20520	show_letter	to_remember	T	2	7	T
42.4716444239	608.4	21237	show_letter	to_remember	K	2	7	K
43.905509916	608.45	21954	show_letter	to_remember	Q	2	7	Q
45.3394754336	1266.9	22671	show_dash	work_memory	-	2	7	WM
48.0905766889	483.45	24046	show_letter	probe_not_shown	L	2	7	rL
49.0424193134	0.0	24522	left_click	ignored_correct	n/a	2	7	255
49.4427213503	0.0	24722	sound_beep	feedback_correct	n/a	2	7	correct
49.9390478639	0.0	24971	left_click	indicate_ready	n/a	2	7	255
49.9413484503	2500.4	24972	show_cross	fixate	+	3	5	nonWM
55.1601787293	608.45	27581	show_letter	to_remember	F	3	5	F
56.5941442469	608.4	28298	show_letter	to_ignore	C	3	5	gC
58.0281097644	608.4	29015	show_letter	to_remember	J	3	5	J
59.4619752565	608.45	29732	show_letter	to_ignore	Q	3	5	gQ
60.8959407741	608.4	30449	show_letter	to_ignore	T	3	5	gT
62.3298062662	608.45	31166	show_letter	to_remember	S	3	5	S
63.7637717838	608.45	31883	show_letter	to_remember	M	3	5	M
65.1977373013	608.4	32600	show_letter	to_remember	N	3	5	N
66.6316027934	1992.0	33317	show_dash	work_memory	-	3	5	WM
70.8333738242	500.05	35418	show_letter	probe_not_shown	Z	3	5	rZ
71.8263269278	0.0	35914	left_click	ignored_correct	n/a	3	5	255
72.2265289392	0.0	36114	sound_beep	feedback_correct	n/a	3	5	correct
72.5647151428	0.0	36283	left_click	indicate_ready	n/a	3	5	255
72.5674158312	2508.75	36285	show_cross	fixate	+	4	5	nonWM
77.8028503426	608.45	38902	show_letter	to_remember	Q	4	5	Q
79.2368158602	608.45	39619	show_letter	to_remember	M	4	5	M
80.6707813778	608.4	40336	show_letter	to_ignore	C	4	5	gC
82.1046468698	608.45	41053	show_letter	to_ignore	X	4	5	gX
83.5386123874	608.45	41770	show_letter	to_ignore	S	4	5	gS
84.972577905	608.4	42487	show_letter	to_remember	W	4	5	W
86.4064433971	608.45	43204	show_letter	to_remember	R	4	5	R
87.8404089147	608.4	43921	show_letter	to_remember	H	4	5	H
89.2742744067	1833.65	44638	show_dash	work_memory	-	4	5	WM
93.1592646901	491.75	46581	show_letter	probe_target	Q	4	5	rQ
94.1354135103	0.0	47069	right_click	remembered_correct	n/a	4	5	1
94.5356155217	0.0	47269	sound_beep	feedback_correct	n/a	4	5	correct
94.8209882632	0.0	47411	left_click	indicate_ready	n/a	4	5	255
94.826589691	2508.75	47414	show_cross	fixate	+	5	5	nonWM
100.0621242279	608.4	50032	show_letter	to_ignore	H	5	5	gH
101.49598972	608.45	50749	show_letter	to_remember	T	5	5	T
102.9299552376	608.45	51466	show_letter	to_remember	X	5	5	X
104.3639207552	608.4	52183	show_letter	to_remember	V	5	5	V
105.7977862472	608.45	52900	show_letter	to_ignore	F	5	5	gF
107.2317517648	608.4	53617	show_letter	to_remember	K	5	5	K
108.6656172569	608.45	54334	show_letter	to_ignore	C	5	5	gC
110.0995827745	608.45	55051	show_letter	to_remember	G	5	5	G
111.5335482921	1050.15	55768	show_dash	work_memory	-	5	5	WM
113.8511390456	608.45	56927	show_letter	probe_target	X	5	5	rX
115.204884115	0.0	57603	left_click	ignored_incorrect	n/a	5	5	255
115.6050861264	0.0	57804	sound_buzz	feedback_incorrect	n/a	5	5	wrong
116.127819371	0.0	58065	left_click	indicate_ready	n/a	5	5	255
116.1354213087	2508.75	58069	show_cross	fixate	+	6	5	nonWM
121.3709558456	608.4	60686	show_letter	to_remember	V	6	5	V
122.8048213377	608.45	61403	show_letter	to_ignore	C	6	5	gC
124.2387868553	608.45	62120	show_letter	to_ignore	H	6	5	gH
125.6726523474	608.45	62837	show_letter	to_remember	M	6	5	M
127.106617865	608.45	63554	show_letter	to_ignore	D	6	5	gD
128.5405833825	608.4	64271	show_letter	to_remember	Q	6	5	Q
129.9744488746	608.45	64988	show_letter	to_remember	Z	6	5	Z
131.4084143922	608.45	65705	show_letter	to_remember	Y	6	5	Y
132.8422798843	1892.0	66422	show_dash	work_memory	-	6	5	WM
136.8439999221	525.1	68423	show_letter	probe_not_shown	J	6	5	rJ
137.8828647285	0.0	68942	left_click	ignored_correct	n/a	6	5	255
138.2831667655	0.0	69143	sound_beep	feedback_correct	n/a	6	5	correct
138.594946238	0.0	69298	left_click	indicate_ready	n/a	6	5	255
138.6113504194	2508.75	69307	show_cross	fixate	+	7	3	nonWM
143.8468849563	608.4	71924	show_letter	to_ignore	S	7	3	gS
145.2807504484	608.45	72641	show_letter	to_ignore	N	7	3	gN
146.714715966	608.45	73358	show_letter	to_remember	R	7	3	R
148.1486814836	608.4	74075	show_letter	to_remember	X	7	3	X
149.5825469757	608.45	74792	show_letter	to_remember	M	7	3	M
151.0165124932	608.45	75509	show_letter	to_ignore	T	7	3	gT
152.4504780108	608.4	76226	show_letter	to_ignore	B	7	3	gB
153.8843435029	608.45	76943	show_letter	to_ignore	G	7	3	gG
155.3183090205	1633.6	77660	show_dash	work_memory	-	7	3	WM
158.8030972924	475.05	79403	show_letter	probe_target	R	7	3	rR
159.7434369849	0.0	79873	right_click	remembered_correct	n/a	7	3	1
160.1438390473	0.0	80073	sound_beep	feedback_correct	n/a	7	3	correct
160.3762983011	0.0	80189	left_click	indicate_ready	n/a	7	3	255
160.3870010292	2500.4	80195	show_cross	fixate	+	8	7	nonWM
165.6058313082	608.45	82804	show_letter	to_remember	P	8	7	P
167.0397968258	608.45	83521	show_letter	to_ignore	Q	8	7	gQ
168.4737623434	608.4	84238	show_letter	to_remember	S	8	7	S
169.9076278355	608.45	84955	show_letter	to_remember	W	8	7	W
171.341593353	608.4	85672	show_letter	to_remember	D	8	7	D
172.7754588451	608.45	86389	show_letter	to_remember	F	8	7	F
174.2094243627	608.45	87106	show_letter	to_remember	C	8	7	C
175.6433898803	608.4	87823	show_letter	to_remember	H	8	7	H
177.0772553724	1025.15	88540	show_dash	work_memory	-	8	7	WM
179.3448333776	608.45	89673	show_letter	probe_not_shown	X	8	7	rX
181.155694966	0.0	90579	left_click	ignored_correct	n/a	8	7	255
181.5558969774	0.0	90779	sound_beep	feedback_correct	n/a	8	7	correct
182.7642049749	0.0	91383	left_click	indicate_ready	n/a	8	7	255
182.7796089014	2508.75	91391	show_cross	fixate	+	9	3	nonWM
188.0151434383	608.45	94009	show_letter	to_remember	P	9	3	P
189.4491089558	608.4	94726	show_letter	to_ignore	K	9	3	gK
190.8829744479	608.45	95442	show_letter	to_remember	B	9	3	B
192.3169399655	608.4	96159	show_letter	to_ignore	Y	9	3	gY
193.7508054576	608.45	96876	show_letter	to_remember	D	9	3	D
195.1845709242	608.55	97593	show_letter	to_ignore	M	9	3	gM
196.6187364927	608.4	98310	show_letter	to_ignore	C	9	3	gC
198.0526019848	608.45	99027	show_letter	to_ignore	F	9	3	gF
199.4865675024	1558.55	99744	show_dash	work_memory	-	9	3	WM
202.8212175041	375.05	101412	show_letter	probe_target	P	9	3	rP
203.5699083453	0.0	101786	right_click	remembered_correct	n/a	9	3	1
203.9701103567	0.0	101986	sound_beep	feedback_correct	n/a	9	3	correct
204.2027696616	0.0	102102	left_click	indicate_ready	n/a	9	3	255
