onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
7.964	2508.7	3983	show_cross	fixate	+	1	7	nonWM
13.1994255265	608.45	6601	show_letter	to_remember	P	1	7	P
14.6333885831	608.4	7318	show_letter	to_ignore	Y	1	7	gY
16.0672516144	608.45	8035	show_letter	to_remember	R	1	7	R
17.5012146711	608.45	8752	show_letter	to_remember	T	1	7	T
18.9351777277	608.4	9469	show_letter	to_remember	B	1	7	B
20.369040759	608.45	10186	show_letter	to_remember	G	1	7	G
21.8030038157	608.4	10903	show_letter	to_remember	V	1	7	V
23.236866847	608.45	11619	show_letter	to_remember	M	1	7	M
24.6708299036	1425.2	12336	show_dash	work_memory	-	1	7	WM
27.7388066666	491.75	13870	show_letter	probe_target	P	1	7	rP
28.7176544953	0.0	14360	right_click	remembered_correct	n/a	1	7	1
29.1178558199	0.0	14560	sound_beep	feedback_correct	n/a	1	7	correct
29.2187813726	0.0	14610	left_click	indicate_ready	n/a	1	7	255
29.2226823603	2500.4	14612	show_cross	fixate	+	2	3	nonWM
34.4415036828	608.45	17222	show_letter	to_ignore	R	2	3	gR
35.8754667395	608.4	17939	show_letter	to_ignore	X	2	3	gX
37.3093297708	608.45	18656	show_letter	to_remember	S	2	3	S
38.7432928274	608.45	19373	show_letter	to_remember	P	2	3	P
40.1772558841	608.4	20090	show_letter	to_remember	N	2	3	N
41.6111189154	608.45	20807	show_letter	to_ignore	D	2	3	gD
43.045081972	608.4	21524	show_letter	to_ignore	G	2	3	gG
44.4790450287	608.4	22241	show_letter	to_ignore	J	2	3	gJ
45.91290806	1375.2	22957	show_dash	work_memory	-	2	3	WM
48.8807594728	483.45	24441	show_letter	probe_not_shown	M	2	3	rM
49.8418027937	0.0	24922	left_click	ignored_correct	n/a	2	3	255
50.2421041436	0.0	25122	sound_beep	feedback_correct	n/a	2	3	correct
50.6594097987	0.0	25331	right_click	indicate_ready	n/a	2	3	1
50.6649111916	650.1	25333	show_cross	bad_trial	+	3	0	nonWM
51.9516369701	0.0	25977	left_click	bad_trial	n/a	3	0	255
52.3518382947	0.0	26177	sound_buzz	bad_trial	n/a	3	0	wrong
55.1426448826	0.0	27572	left_click	bad_trial	n/a	3	0	255
55.1500467566	2508.75	27576	show_cross	fixate	+	4	3	nonWM
60.3855723084	608.4	30194	show_letter	to_ignore	D	4	3	gD
61.8194353397	608.45	30911	show_letter	to_ignore	C	4	3	gC
63.2533983964	608.45	31628	show_letter	to_remember	R	4	3	R
64.6872614277	608.45	32345	show_letter	to_ignore	G	4	3	gG
