onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
2.768	1257.3	693	show_cross	fixate	+	1	7	nonWM
8.0151849876	305.7	2005	show_letter	to_remember	P	1	7	P
9.4559808655	305.95	2365	show_letter	to_remember	L	1	7	L
10.8977767405	305.975	2725	show_letter	to_remember	H	1	7	H
12.3395726154	305.95	3086	show_letter	to_remember	K	1	7	K
13.7812684907	305.725	3446	show_letter	to_remember	B	1	7	B
15.2220643685	305.975	3807	show_letter	to_remember	Q	1	7	Q
16.6638602435	305.95	4167	show_letter	to_ignore	T	1	7	gT
18.1056561185	305.7	4527	show_letter	to_remember	J	1	7	J
19.5464519963	993.35	4888	show_dash	work_memory	-	1	7	WM
23.7368400075	196.95	5935	show_letter	probe_target	H	1	7	rH
24.4918378474	0.0	6124	right_click	remembered_correct	n/a	1	7	1
24.8920367024	0.0	6224	sound_beep	feedback_correct	n/a	1	7	correct
29.6332231378	0.0	7409	right_click	indicate_ready	n/a	1	7	1
29.6539230785	1257.05	7414	show_cross	fixate	+	2	5	nonWM
34.900108069	305.95	8726	show_letter	to_remember	G	2	5	G
36.3418039443	305.975	9086	show_letter	to_ignore	K	2	5	gK
37.7837998187	305.9	9447	show_letter	to_remember	M	2	5	M
39.2253956943	305.7	9807	show_letter	to_remember	D	2	5	D
40.6661915721	305.95	10168	show_letter	to_ignore	R	2	5	gR
42.1079874471	305.975	10528	show_letter	to_ignore	C	2	5	gC
43.549783322	305.95	10888	show_letter	to_remember	B	2	5	B
44.9905791999	305.95	11249	show_letter	to_remember	Y	2	5	Y
46.4322750751	854.875	11609	show_dash	work_memory	-	2	5	WM
50.0697646682	171.725	12518	show_letter	probe_target	Y	2	5	rY
50.7256627916	0.0	12682	right_click	remembered_correct	n/a	2	5	1
51.1257616469	0.0	12782	sound_beep	feedback_correct	n/a	2	5	correct
51.9912591707	0.0	12999	right_click	indicate_ready	n/a	2	5	1
52.0144591043	1257.05	13005	show_cross	fixate	+	3	3	nonWM
