onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.224	1263.075	807	show_cross	fixate	+	1	5	nonWM
8.529181786	313.725	2133	show_letter	to_ignore	Z	1	5	gZ
10.0369766094	313.7	2510	show_letter	to_remember	T	1	5	T
11.5447714328	313.7	2887	show_letter	to_remember	M	1	5	M
13.0525662562	313.45	3264	show_letter	to_remember	S	1	5	S
14.5602610799	313.45	3641	show_letter	to_ignore	Y	1	5	gY
16.0680559033	313.45	4018	show_letter	to_remember	V	1	5	V
17.5758507267	313.45	4395	show_letter	to_remember	N	1	5	N
19.0825455538	313.725	4772	show_letter	to_ignore	H	1	5	gH
20.5903403772	549.675	5149	show_dash	work_memory	-	1	5	WM
23.04203196	296.45	5762	show_letter	probe_not_shown	Q	1	5	rQ
24.1594281237	0.0	6041	left_click	ignored_correct	n/a	1	5	255
24.55952675	0.0	6141	sound_beep	feedback_correct	n/a	1	5	correct
28.3515137312	0.0	7089	right_click	indicate_ready	n/a	1	5	1
28.4172135057	1263.05	7105	show_cross	fixate	+	2	7	nonWM
33.7222952921	313.725	8432	show_letter	to_remember	X	2	7	X
35.2300901154	313.7	8809	show_letter	to_ignore	C	2	7	gC
36.7378849388	313.7	9185	show_letter	to_remember	J	2	7	J
38.2456797622	313.7	9562	show_letter	to_remember	H	2	7	H
39.7533745859	313.45	9939	show_letter	to_remember	N	2	7	N
41.2611694093	313.45	10316	show_letter	to_remember	D	2	7	D
42.7689642327	313.425	10693	show_letter	to_remember	P	2	7	P
44.2766590564	313.475	11070	show_letter	to_remember	S	2	7	S
45.7834538832	889.125	11447	show_dash	work_memory	-	2	7	WM
49.5939408009	227.2	12399	show_letter	probe_not_shown	L	2	7	rL
50.4458378761	0.0	12612	left_click	ignored_correct	n/a	2	7	255
50.8460365022	0.0	12713	sound_beep	feedback_correct	n/a	2	7	correct
54.1107252937	0.0	13529	right_click	indicate_ready	n/a	2	7	1
54.1852250379	1263.3	13547	show_cross	fixate	+	3	3	nonWM
59.4914068205	313.45	14874	show_letter	to_ignore	J	3	3	gJ
60.9991016442	313.45	15251	show_letter	to_ignore	C	3	3	gC
62.5068964676	313.45	15628	show_letter	to_ignore	L	3	3	gL
64.0144912917	313.5	16005	show_letter	to_remember	S	3	3	S
65.5213861182	313.725	16381	show_letter	to_remember	G	3	3	G
67.0291809415	313.7	16758	show_letter	to_remember	V	3	3	V
68.5369757649	313.7	17135	show_letter	to_ignore	R	3	3	gR
70.0447705883	313.7	17512	show_letter	to_ignore	T	3	3	gT
71.552465412	563.925	17889	show_dash	work_memory	-	3	3	WM
74.0611567991	313.7	18516	show_letter	probe_target	V	3	3	rV
76.494748444	0.0	19125	right_click	remembered_correct	n/a	3	3	1
76.8948470704	0.0	19225	sound_beep	feedback_correct	n/a	3	3	correct
79.6058377629	0.0	19902	right_click	indicate_ready	n/a	3	3	1
79.6782375143	1263.05	19921	show_cross	fixate	+	4	7	nonWM
84.9834193003	313.7	21247	show_letter	to_remember	W	4	7	W
86.4912141237	313.675	21624	show_letter	to_remember	Z	4	7	Z
87.9989089474	313.725	22001	show_letter	to_remember	V	4	7	V
89.5067037708	313.7	22378	show_letter	to_remember	D	4	7	D
91.0144985942	313.45	22755	show_letter	to_ignore	F	4	7	gF
92.5222934176	313.45	23132	show_letter	to_remember	X	4	7	X
94.0299882413	313.45	23508	show_letter	to_remember	M	4	7	M
95.5377830647	313.45	23885	show_letter	to_remember	Y	4	7	Y
97.0445778915	624.4	24262	show_dash	work_memory	-	4	7	WM
99.7961684446	330.7	24950	show_letter	probe_not_shown	G	4	7	rG
101.0143642623	0.0	25255	left_click	ignored_correct	n/a	4	7	255
101.4145628883	0.0	25355	sound_beep	feedback_correct	n/a	4	7	correct
106.8674441673	0.0	26718	right_click	indicate_ready	n/a	4	7	1
106.9310439489	1263.05	26734	show_cross	fixate	+	5	3	nonWM
112.2372257315	313.45	28060	show_letter	to_remember	Q	5	3	Q
