onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
5.152	2500.4	2577	show_cross	fixate	+	1	3	nonWM
10.3708315229	608.45	5186	show_letter	to_ignore	D	1	3	gD
11.8047973823	608.45	5903	show_letter	to_ignore	V	1	3	gV
13.2387632417	608.4	6620	show_letter	to_remember	G	1	3	G
14.6726290755	608.45	7337	show_letter	to_ignore	H	1	3	gH
16.1065949349	608.45	8054	show_letter	to_ignore	P	1	3	gP
17.5404607688	608.45	8771	show_letter	to_ignore	J	1	3	gJ
18.9744266282	608.45	9488	show_letter	to_remember	M	1	3	M
20.4083924875	608.4	10205	show_letter	to_remember	Z	1	3	Z
21.8422583214	1166.85	10922	show_dash	work_memory	-	1	3	WM
24.3933091917	608.45	12198	show_letter	probe_not_shown	Y	1	3	rY
26.1535582984	0.0	13078	left_click	ignored_correct	n/a	1	3	255
26.5539604563	0.0	13278	sound_beep	feedback_correct	n/a	1	3	correct
28.5268638192	0.0	14264	left_click	indicate_ready	n/a	1	3	255
28.5450684639	2508.7	14274	show_cross	fixate	+	2	5	nonWM
33.7805042232	608.45	16891	show_letter	to_remember	V	2	5	V
35.2144700826	608.45	17608	show_letter	to_remember	W	2	5	W
36.6484359419	608.4	18325	show_letter	to_ignore	Q	2	5	gQ
38.0823017758	608.45	19042	show_letter	to_remember	S	2	5	S
39.5162676352	608.45	19759	show_letter	to_ignore	T	2	5	gT
40.9502334945	608.4	20476	show_letter	to_remember	Z	2	5	Z
42.3840993284	608.45	21193	show_letter	to_remember	K	2	5	K
43.8180651878	608.4	21910	show_letter	to_ignore	X	2	5	gX
45.2519310216	1491.9	22627	show_dash	work_memory	-	2	5	WM
48.4532477996	575.1	24228	show_letter	probe_target	W	2	5	rW
49.5972396756	0.0	24800	right_click	remembered_correct	n/a	2	5	1
49.9975418079	0.0	25000	sound_beep	feedback_correct	n/a	2	5	correct
50.3093213548	0.0	25156	left_click	indicate_ready	n/a	2	5	255
50.3207242641	2508.75	25161	show_cross	fixate	+	3	7	nonWM
55.5562600489	608.4	27779	show_letter	to_remember	W	3	7	W
56.9901258828	608.45	28496	show_letter	to_remember	D	3	7	D
58.4239917166	608.45	29213	show_letter	to_remember	R	3	7	R
59.857957576	608.45	29930	show_letter	to_remember	Z	3	7	Z
61.2919234354	608.45	30647	show_letter	to_remember	M	3	7	M
62.7258892947	608.4	31364	show_letter	to_ignore	T	3	7	gT
64.1597551286	608.45	32081	show_letter	to_remember	H	3	7	H
65.593720988	608.4	32798	show_letter	to_remember	L	3	7	L
67.0275868218	1942.0	33515	show_dash	work_memory	-	3	7	WM
71.1293333338	608.4	35566	show_letter	probe_target	W	3	7	rW
72.4871797722	0.0	36245	right_click	remembered_correct	n/a	3	7	1
