onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
4.736	1257.325	1185	show_cross	fixate	+	1	7	nonWM
9.9832040033	305.725	2497	show_letter	to_ignore	J	1	7	gJ
11.4240051025	305.95	2857	show_letter	to_remember	T	1	7	T
12.8658062025	305.975	3217	show_letter	to_remember	V	1	7	V
14.3076073026	305.95	3578	show_letter	to_remember	D	1	7	D
15.7484084018	305.95	3938	show_letter	to_remember	X	1	7	X
17.1901095017	305.975	4299	show_letter	to_remember	G	1	7	G
18.6319106017	305.95	4659	show_letter	to_remember	N	1	7	N
20.0737117017	305.7	5019	show_letter	to_remember	R	1	7	R
21.514512801	846.625	5380	show_dash	work_memory	-	1	7	WM
25.1189155509	213.725	6281	show_letter	probe_target	R	1	7	rR
25.9483161837	0.0	6488	right_click	remembered_correct	n/a	1	7	1
26.348516489	0.0	6588	sound_beep	feedback_correct	n/a	1	7	correct
26.8184168475	0.0	6706	right_click	indicate_ready	n/a	1	7	1
26.8447168676	1257.3	6712	show_cross	fixate	+	2	7	nonWM
32.0919208709	305.7	8024	show_letter	to_remember	J	2	7	J
33.5327219701	305.95	8384	show_letter	to_remember	T	2	7	T
34.9745230701	305.975	8745	show_letter	to_remember	L	2	7	L
36.4163241702	305.925	9105	show_letter	to_remember	X	2	7	X
37.8570252693	305.95	9465	show_letter	to_remember	S	2	7	S
39.2988263693	305.95	9826	show_letter	to_remember	G	2	7	G
40.7406274693	305.95	10186	show_letter	to_remember	Q	2	7	Q
42.1824285693	305.7	10547	show_letter	to_ignore	R	2	7	gR
43.6232296686	611.95	10907	show_dash	work_memory	-	2	7	WM
46.2887317022	234.725	11573	show_letter	probe_not_shown	Y	2	7	rY
47.1977323957	0.0	11800	left_click	ignored_correct	n/a	2	7	255
47.597932701	0.0	11900	sound_beep	feedback_correct	n/a	2	7	correct
47.9096329388	0.0	11978	right_click	indicate_ready	n/a	2	7	1
47.9315329556	1257.025	11984	show_cross	fixate	+	3	3	nonWM
53.1777369581	305.95	13295	show_letter	to_ignore	D	3	3	gD
54.6195380581	305.7	13656	show_letter	to_ignore	V	3	3	gV
56.0603391573	305.95	14016	show_letter	to_remember	G	3	3	G
57.5021402573	305.95	14377	show_letter	to_ignore	H	3	3	gH
58.9437413572	305.975	14737	show_letter	to_ignore	P	3	3	gP
60.3856424573	305.7	15097	show_letter	to_ignore	J	3	3	gJ
61.8264435565	305.95	15458	show_letter	to_remember	M	3	3	M
63.2682446565	305.975	15818	show_letter	to_remember	Z	3	3	Z
64.7100457565	586.65	16179	show_dash	work_memory	-	3	3	WM
67.2746477132	305.7	16820	show_letter	probe_not_shown	Y	3	3	rY
68.7107488088	0.0	17179	left_click	ignored_correct	n/a	3	3	255
69.1108491141	0.0	17279	sound_beep	feedback_correct	n/a	3	3	correct
70.1080498749	0.0	17528	right_click	indicate_ready	n/a	3	3	1
70.1402498994	1257.3	17536	show_cross	fixate	+	4	7	nonWM
75.3874539027	305.7	18848	show_letter	to_remember	W	4	7	W
76.8281550019	305.975	19208	show_letter	to_remember	D	4	7	D
78.2699561019	305.975	19568	show_letter	to_remember	R	4	7	R
79.7117572019	305.95	19929	show_letter	to_remember	Z	4	7	Z
81.1525583012	305.95	20289	show_letter	to_remember	M	4	7	M
82.5943594012	305.95	20650	show_letter	to_ignore	T	4	7	gT
84.0361605012	305.95	21010	show_letter	to_remember	H	4	7	H
85.4778616011	305.725	21370	show_letter	to_remember	L	4	7	L
86.9186627003	976.35	21731	show_dash	work_memory	-	4	7	WM
91.0420658463	184.475	22762	show_letter	probe_target	W	4	7	rW
91.7527663885	0.0	22939	right_click	remembered_correct	n/a	4	7	1
92.1528666937	0.0	23039	sound_beep	feedback_correct	n/a	4	7	correct
92.7282671327	0.0	23183	right_click	indicate_ready	n/a	4	7	1
92.7517671507	1257.325	23189	show_cross	fixate	+	5	5	nonWM
97.9980711533	305.95	24501	show_letter	to_remember	H	5	5	H
99.4397722532	305.95	24861	show_letter	to_remember	B	5	5	B
100.8815733532	305.95	25221	show_letter	to_remember	Q	5	5	Q
102.3233744532	305.7	25582	show_letter	to_ignore	K	5	5	gK
103.7641755524	305.95	25942	show_letter	to_remember	S	5	5	S
105.2059766525	305.95	26302	show_letter	to_remember	R	5	5	R
106.6477777525	305.95	26663	show_letter	to_ignore	T	5	5	gT
108.0894788524	305.7	27023	show_letter	to_ignore	J	5	5	gJ
109.5302799516	825.65	27384	show_dash	work_memory	-	5	5	WM
113.0507826376	192.725	28264	show_letter	probe_target	Q	5	5	rQ
113.7927832037	0.0	28449	right_click	remembered_correct	n/a	5	5	1
114.1928835089	0.0	28549	sound_beep	feedback_correct	n/a	5	5	correct
114.7418839278	0.0	28686	right_click	indicate_ready	n/a	5	5	1
114.760483942	1257.075	28691	show_cross	fixate	+	6	7	nonWM
120.0066879445	305.95	30003	show_letter	to_remember	F	6	7	F
121.4484890445	305.7	30363	show_letter	to_remember	M	6	7	M
122.8892901437	305.95	30723	show_letter	to_remember	B	6	7	B
124.3310912437	305.975	31084	show_letter	to_ignore	N	6	7	gN
125.7728923437	305.95	31444	show_letter	to_remember	L	6	7	L
127.2145934437	305.725	31805	show_letter	to_remember	X	6	7	X
128.6553945429	306.025	32165	show_letter	to_remember	J	6	7	J
130.0971956429	305.95	32525	show_letter	to_remember	Y	6	7	Y
131.5389967429	879.875	32886	show_dash	work_memory	-	6	7	WM
135.2763995943	205.475	33820	show_letter	probe_not_shown	P	6	7	rP
136.0700001998	0.0	34019	left_click	ignored_correct	n/a	6	7	255
136.4703005052	0.0	34119	sound_beep	feedback_correct	n/a	6	7	correct
136.7554007227	0.0	34190	right_click	indicate_ready	n/a	6	7	1
136.7852007455	1257.05	34197	show_cross	fixate	+	7	7	nonWM
142.031404748	306.0	35509	show_letter	to_remember	Y	7	7	Y
143.473205848	305.95	35869	show_letter	to_ignore	W	7	7	gW
144.915006948	305.7	36230	show_letter	to_remember	S	7	7	S
146.3557080472	305.975	36590	show_letter	to_remember	J	7	7	J
147.7975091472	305.975	36950	show_letter	to_remember	P	7	7	P
149.2393102472	305.7	37311	show_letter	to_remember	C	7	7	C
150.6801113464	305.95	37671	show_letter	to_remember	D	7	7	D
152.1219124464	305.95	38031	show_letter	to_remember	K	7	7	K
153.5638135465	884.075	38392	show_dash	work_memory	-	7	7	WM
157.3181164108	196.975	39331	show_letter	probe_target	C	7	7	rC
158.0834169947	0.0	39522	right_click	remembered_correct	n/a	7	7	1
158.4835173	0.0	39622	sound_beep	feedback_correct	n/a	7	7	correct
158.8216175579	0.0	39706	right_click	indicate_ready	n/a	7	7	1
158.8439175749	1257.075	39712	show_cross	fixate	+	8	5	nonWM
164.0901215775	305.95	41024	show_letter	to_remember	L	8	5	L
165.5319226775	305.7	41384	show_letter	to_remember	F	8	5	F
166.9726237766	305.95	41744	show_letter	to_ignore	M	8	5	gM
168.4144248766	305.95	42105	show_letter	to_ignore	J	8	5	gJ
169.8562259766	305.7	42465	show_letter	to_remember	K	8	5	K
171.2970270759	305.95	42825	show_letter	to_ignore	N	8	5	gN
172.7388281759	305.95	43186	show_letter	to_remember	R	8	5	R
174.180729276	305.925	43546	show_letter	to_remember	H	8	5	H
175.6223303758	879.875	43907	show_dash	work_memory	-	8	5	WM
179.3598332273	205.225	44841	show_letter	probe_not_shown	G	8	5	rG
180.1494338297	0.0	45038	left_click	ignored_correct	n/a	8	5	255
180.549534135	0.0	45138	sound_beep	feedback_correct	n/a	8	5	correct
180.8612343728	0.0	45216	right_click	indicate_ready	n/a	8	5	1
180.8855343913	1257.1	45222	show_cross	fixate	+	9	5	nonWM
186.1318383939	305.95	46534	show_letter	to_ignore	Z	9	5	gZ
187.5725394931	305.975	46894	show_letter	to_remember	W	9	5	W
189.0143405931	305.95	47255	show_letter	to_ignore	T	9	5	gT
190.4561416931	305.95	47615	show_letter	to_remember	R	9	5	R
191.8979427931	305.7	47975	show_letter	to_remember	H	9	5	H
193.3387438924	305.95	48336	show_letter	to_remember	L	9	5	L
194.7804449923	306.0	48696	show_letter	to_remember	D	9	5	D
196.2223460924	305.925	49057	show_letter	to_ignore	J	9	5	gJ
197.6640471923	712.15	49417	show_dash	work_memory	-	9	5	WM
200.7305495319	171.975	50184	show_letter	probe_target	H	9	5	rH
201.3985500415	0.0	50351	right_click	remembered_correct	n/a	9	5	1
201.7986503468	0.0	50451	sound_beep	feedback_correct	n/a	9	5	correct
202.1894506449	0.0	50548	right_click	indicate_ready	n/a	9	5	1
202.22235067	1257.325	50557	show_cross	fixate	+	10	7	nonWM
207.4695546733	305.7	51868	show_letter	to_remember	Z	10	7	Z
208.9103557726	305.95	52229	show_letter	to_remember	X	10	7	X
210.3521568726	305.975	52589	show_letter	to_remember	S	10	7	S
211.7939579726	305.95	52949	show_letter	to_remember	Y	10	7	Y
213.2347590718	305.95	53310	show_letter	to_remember	C	10	7	C
214.6765601718	305.95	53670	show_letter	to_remember	V	10	7	V
216.1182612717	305.95	54031	show_letter	to_remember	T	10	7	T
217.5600623717	305.7	54391	show_letter	to_ignore	W	10	7	gW
219.000863471	645.4	54751	show_dash	work_memory	-	10	7	WM
221.8006656071	297.4	55451	show_letter	probe_target	V	10	7	rV
222.9639664946	0.0	55742	right_click	remembered_correct	n/a	10	7	1
223.3641667999	0.0	55842	sound_beep	feedback_correct	n/a	10	7	correct
223.8603671785	0.0	55966	left_click	indicate_ready	n/a	10	7	255
223.8790671928	1257.075	55971	show_cross	fixate	+	11	3	nonWM
229.1253711954	305.95	57282	show_letter	to_ignore	R	11	3	gR
230.5671722954	305.7	57643	show_letter	to_ignore	X	11	3	gX
232.0078733945	305.975	58003	show_letter	to_remember	S	11	3	S
233.4496744946	305.95	58363	show_letter	to_remember	P	11	3	P
234.8915755946	305.925	58724	show_letter	to_remember	N	11	3	N
236.3332766946	305.7	59084	show_letter	to_ignore	D	11	3	gD
237.7740777938	305.95	59445	show_letter	to_ignore	G	11	3	gG
239.2157788937	305.975	59805	show_letter	to_ignore	J	11	3	gJ
240.6575799937	691.425	60165	show_dash	work_memory	-	11	3	WM
243.6411822701	268.2	60911	show_letter	probe_not_shown	M	11	3	rM
244.6876830685	0.0	61173	left_click	ignored_correct	n/a	11	3	255
245.0877833737	0.0	61273	sound_beep	feedback_correct	n/a	11	3	correct
245.4521836517	0.0	61364	right_click	indicate_ready	n/a	11	3	1
245.4849836768	1257.025	61372	show_cross	fixate	+	12	5	nonWM
250.7310876792	305.975	62684	show_letter	to_remember	V	12	5	V
252.1728887792	305.95	63044	show_letter	to_remember	W	12	5	W
253.6136898785	305.95	63404	show_letter	to_ignore	Q	12	5	gQ
255.0554909785	305.95	63765	show_letter	to_remember	S	12	5	S
256.4971920784	305.975	64125	show_letter	to_ignore	T	12	5	gT
257.9389931784	305.7	64486	show_letter	to_remember	Z	12	5	Z
259.3797942776	305.95	64846	show_letter	to_remember	K	12	5	K
260.8215953777	305.975	65206	show_letter	to_ignore	X	12	5	gX
262.2633964777	750.125	65567	show_dash	work_memory	-	12	5	WM
265.4818989332	213.725	66371	show_letter	probe_target	W	12	5	rW
266.3058995618	0.0	66577	right_click	remembered_correct	n/a	12	5	1
266.7059998671	0.0	66677	sound_beep	feedback_correct	n/a	12	5	correct
267.2023002457	0.0	66802	left_click	indicate_ready	n/a	12	5	255
267.2246002628	1257.075	66807	show_cross	fixate	+	13	3	nonWM
272.4708042653	305.975	68119	show_letter	to_remember	B	13	3	B
273.9126053653	305.95	68479	show_letter	to_ignore	F	13	3	gF
275.3544064653	305.7	68840	show_letter	to_ignore	H	13	3	gH
276.7952075645	305.95	69200	show_letter	to_remember	R	13	3	R
278.2370086646	305.95	69560	show_letter	to_ignore	Z	13	3	gZ
279.6788097646	305.95	69921	show_letter	to_remember	G	13	3	G
281.1205108645	305.7	70281	show_letter	to_ignore	M	13	3	gM
282.5613119637	305.95	70641	show_letter	to_ignore	V	13	3	gV
284.0031130637	825.625	71002	show_dash	work_memory	-	13	3	WM
287.5225157488	213.725	71882	show_letter	probe_target	B	13	3	rB
288.3460163771	0.0	72088	right_click	remembered_correct	n/a	13	3	1
288.7461166824	0.0	72188	sound_beep	feedback_correct	n/a	13	3	correct
289.4269172018	0.0	72358	left_click	indicate_ready	n/a	13	3	255
289.4503172196	1257.3	72364	show_cross	fixate	+	14	5	nonWM
294.6975212229	305.7	73675	show_letter	to_ignore	C	14	5	gC
296.1382223221	305.975	74036	show_letter	to_ignore	P	14	5	gP
297.5801234222	305.95	74396	show_letter	to_remember	X	14	5	X
299.0218245221	305.95	74756	show_letter	to_ignore	Z	14	5	gZ
