onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
3.324	1257.05	832	show_cross	fixate	+	1	3	nonWM
8.5700704819	305.975	2144	show_letter	to_ignore	Z	1	3	gZ
10.0120623682	305.925	2504	show_letter	to_remember	K	1	3	K
11.4536542568	305.7	2864	show_letter	to_ignore	H	1	3	gH
12.8944461499	305.95	3225	show_letter	to_remember	P	1	3	P
14.3362380373	305.975	3585	show_letter	to_remember	C	1	3	C
15.7780299248	305.95	3946	show_letter	to_ignore	S	1	3	gS
17.2187218184	305.975	4306	show_letter	to_ignore	V	1	3	gV
18.6605137059	305.975	4666	show_letter	to_ignore	X	1	3	gX
20.1025055922	720.6	5027	show_dash	work_memory	-	1	3	WM
23.2027881478	305.975	5802	show_letter	probe_target	C	1	3	rC
24.9345784035	0.0	6235	right_click	remembered_correct	n/a	1	3	1
25.3347761517	0.0	6335	sound_beep	feedback_correct	n/a	1	3	correct
25.8836730633	0.0	6472	left_click	indicate_ready	n/a	1	3	255
25.9013729637	1257.325	6476	show_cross	fixate	+	2	5	nonWM
31.1486434388	305.7	7788	show_letter	to_remember	G	2	5	G
32.5893353324	305.975	8148	show_letter	to_ignore	K	2	5	gK
34.0311272199	305.95	8509	show_letter	to_remember	M	2	5	M
35.4729191074	305.95	8869	show_letter	to_remember	D	2	5	D
36.9137110004	305.95	9229	show_letter	to_ignore	R	2	5	gR
38.3555028879	305.95	9590	show_letter	to_ignore	C	2	5	gC
39.7971947759	305.975	9950	show_letter	to_remember	B	2	5	B
41.2388866639	305.725	10311	show_letter	to_remember	Y	2	5	Y
42.6797785564	854.875	10671	show_dash	work_memory	-	2	5	WM
46.3172580894	171.725	11580	show_letter	probe_target	Y	2	5	rY
46.9744543915	0.0	11745	right_click	remembered_correct	n/a	2	5	1
47.3746521397	0.0	11845	sound_beep	feedback_correct	n/a	2	5	correct
47.8444494963	0.0	11962	left_click	indicate_ready	n/a	2	5	255
47.8759493191	1257.325	11970	show_cross	fixate	+	3	7	nonWM
53.1221198004	305.95	13282	show_letter	to_remember	Z	3	7	Z
54.5639116879	305.95	13642	show_letter	to_remember	P	3	7	P
56.0057035753	305.95	14002	show_letter	to_remember	W	3	7	W
57.4474954628	305.7	14363	show_letter	to_remember	Q	3	7	Q
58.8882873559	305.95	14723	show_letter	to_ignore	B	3	7	gB
60.3299792439	306.0	15083	show_letter	to_remember	G	3	7	G
61.7718711308	305.95	15444	show_letter	to_remember	J	3	7	J
63.2125630244	305.95	15804	show_letter	to_remember	M	3	7	M
64.6543549119	557.45	16165	show_dash	work_memory	-	3	7	WM
67.1020411395	163.45	16777	show_letter	probe_not_shown	V	3	7	rV
67.7224376487	0.0	16932	left_click	ignored_correct	n/a	3	7	255
68.1227353963	0.0	17032	sound_beep	feedback_correct	n/a	3	7	correct
68.4342336436	0.0	17110	right_click	indicate_ready	n/a	3	7	1
68.4597335001	1257.075	17116	show_cross	fixate	+	4	5	nonWM
73.7059039814	305.95	18427	show_letter	to_remember	M	4	5	M
75.1476958689	305.7	18788	show_letter	to_remember	R	4	5	R
76.588487762	305.95	19148	show_letter	to_remember	L	4	5	L
78.0302796494	305.975	19509	show_letter	to_ignore	X	4	5	gX
79.4720715369	305.95	19869	show_letter	to_ignore	G	4	5	gG
80.9137634249	305.725	20229	show_letter	to_remember	W	4	5	W
82.354555318	305.95	20590	show_letter	to_remember	F	4	5	F
83.7963472054	305.95	20950	show_letter	to_ignore	D	4	5	gD
85.2381390929	548.925	21311	show_dash	work_memory	-	4	5	WM
87.6517255123	196.975	21914	show_letter	probe_target	F	4	5	rF
88.4176212029	0.0	22105	right_click	remembered_correct	n/a	4	5	1
88.8177189516	0.0	22205	sound_beep	feedback_correct	n/a	4	5	correct
88.865818681	0.0	22217	left_click	indicate_ready	n/a	4	5	255
88.8915185364	1257.325	22224	show_cross	fixate	+	5	5	nonWM
94.1376890177	305.975	23535	show_letter	to_remember	V	5	5	V
95.5794809052	305.95	23896	show_letter	to_remember	L	5	5	L
97.0212727926	305.95	24256	show_letter	to_remember	S	5	5	S
98.4630646801	305.7	24617	show_letter	to_ignore	M	5	5	gM
99.9038565731	305.95	24977	show_letter	to_remember	R	5	5	R
101.3456484606	305.95	25337	show_letter	to_ignore	D	5	5	gD
102.7874403481	305.95	25698	show_letter	to_remember	N	5	5	N
104.2291322361	305.7	26058	show_letter	to_ignore	Q	5	5	gQ
105.6699241292	532.175	26418	show_dash	work_memory	-	5	5	WM
108.0165109256	209.475	27005	show_letter	probe_not_shown	K	5	5	rK
108.8228063888	0.0	27207	left_click	ignored_correct	n/a	5	5	255
109.2229041376	0.0	27307	sound_beep	feedback_correct	n/a	5	5	correct
109.2446040155	0.0	27312	right_click	indicate_ready	n/a	5	5	1
109.2744038478	1257.05	27320	show_cross	fixate	+	6	3	nonWM
114.5205743291	305.95	28631	show_letter	to_ignore	Z	6	3	gZ
115.9613662222	305.95	28991	show_letter	to_remember	M	6	3	M
117.4030581102	305.975	29352	show_letter	to_ignore	P	6	3	gP
118.8448499977	305.95	29712	show_letter	to_ignore	N	6	3	gN
120.2866418851	305.7	30073	show_letter	to_remember	F	6	3	F
121.7274337782	305.95	30433	show_letter	to_remember	L	6	3	L
123.1692256657	305.95	30793	show_letter	to_ignore	D	6	3	gD
124.6110175531	305.95	31154	show_letter	to_ignore	H	6	3	gH
126.0527094411	544.675	31514	show_dash	work_memory	-	6	3	WM
128.4494959551	154.95	32113	show_letter	probe_not_shown	J	6	3	rJ
129.043292614	0.0	32262	left_click	ignored_correct	n/a	6	3	255
129.4434903622	0.0	32362	sound_beep	feedback_correct	n/a	6	3	correct
129.8605880153	0.0	32466	right_click	indicate_ready	n/a	6	3	1
129.8910878437	1257.1	32474	show_cross	fixate	+	7	7	nonWM
135.1373583244	305.95	33785	show_letter	to_remember	P	7	7	P
136.5780502181	305.975	34146	show_letter	to_remember	L	7	7	L
138.0198421055	305.95	34506	show_letter	to_remember	H	7	7	H
139.461633993	305.95	34866	show_letter	to_remember	K	7	7	K
140.9034258805	305.7	35227	show_letter	to_remember	B	7	7	B
142.3442177735	305.925	35587	show_letter	to_remember	Q	7	7	Q
143.7859096616	305.975	35947	show_letter	to_ignore	T	7	7	gT
145.2278015484	305.95	36308	show_letter	to_remember	J	7	7	J
146.6694934365	993.1	36668	show_dash	work_memory	-	7	7	WM
150.8598698584	284.95	37716	show_letter	probe_target	H	7	7	rH
151.9792635599	0.0	37996	right_click	remembered_correct	n/a	7	7	1
152.3793613087	0.0	38096	sound_beep	feedback_correct	n/a	7	7	correct
152.9019583682	0.0	38226	left_click	indicate_ready	n/a	7	7	255
152.9215582579	1257.075	38231	show_cross	fixate	+	8	7	nonWM
158.1677287392	305.95	39543	show_letter	to_remember	Y	8	7	Y
159.6095206267	305.7	39903	show_letter	to_ignore	V	8	7	gV
161.0502125203	305.975	40264	show_letter	to_remember	F	8	7	F
162.4920044078	305.95	40624	show_letter	to_remember	R	8	7	R
163.9337962952	305.7	40984	show_letter	to_remember	C	8	7	C
165.3745881883	305.95	41345	show_letter	to_remember	Z	8	7	Z
166.8163800758	305.95	41705	show_letter	to_remember	Q	8	7	Q
168.2582719627	305.925	42066	show_letter	to_remember	D	8	7	D
169.6998638512	972.1	42426	show_dash	work_memory	-	8	7	WM
173.8063407453	192.7	43453	show_letter	probe_not_shown	K	8	7	rK
174.5460365832	0.0	43638	left_click	ignored_correct	n/a	8	7	255
174.9462343314	0.0	43738	sound_beep	feedback_correct	n/a	8	7	correct
175.2842324296	0.0	43822	right_click	indicate_ready	n/a	8	7	1
175.3150322563	1257.1	43830	show_cross	fixate	+	9	5	nonWM
180.5613027371	305.925	45141	show_letter	to_remember	R	9	5	R
182.0029946251	305.7	45502	show_letter	to_ignore	B	9	5	gB
