onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
6.616	1257.325	1655	show_cross	fixate	+	1	3	nonWM
11.8633110093	305.7	2967	show_letter	to_ignore	R	1	3	gR
13.304014032	305.975	3327	show_letter	to_ignore	X	1	3	gX
14.745817057	305.975	3687	show_letter	to_remember	S	1	3	S
16.187620082	305.95	4048	show_letter	to_remember	P	1	3	P
17.6284231049	305.95	4408	show_letter	to_remember	N	1	3	N
19.07022613	305.95	4769	show_letter	to_ignore	D	1	3	gD
20.5119291548	305.975	5129	show_letter	to_ignore	G	1	3	gG
21.9537321798	305.725	5489	show_letter	to_ignore	J	1	3	gJ
23.3945352027	691.4	5850	show_dash	work_memory	-	1	3	WM
26.3781414625	159.225	6596	show_letter	probe_not_shown	M	1	3	rM
26.9899427461	0.0	6748	left_click	ignored_correct	n/a	1	3	255
27.3901435858	0.0	6849	sound_beep	feedback_correct	n/a	1	3	correct
28.2028452909	0.0	7052	right_click	indicate_ready	n/a	1	3	1
28.2218453308	1257.3	7056	show_cross	fixate	+	2	3	nonWM
33.4690563398	305.7	8368	show_letter	to_ignore	G	2	3	gG
34.9098593628	305.95	8728	show_letter	to_remember	L	2	3	L
36.3516623878	305.975	9089	show_letter	to_remember	X	2	3	X
37.7934654128	305.95	9449	show_letter	to_ignore	P	2	3	gP
39.2351684376	305.7	9810	show_letter	to_ignore	H	2	3	gH
40.6759714605	305.95	10170	show_letter	to_ignore	M	2	3	gM
42.1177744855	305.95	10530	show_letter	to_remember	N	2	3	N
43.5595775105	305.7	10891	show_letter	to_ignore	R	2	3	gR
45.0003805335	683.15	11251	show_dash	work_memory	-	2	3	WM
47.9508867239	217.975	11989	show_letter	probe_not_shown	Z	2	3	rZ
48.7951884953	0.0	12200	left_click	ignored_correct	n/a	2	3	255
49.1953893349	0.0	12300	sound_beep	feedback_correct	n/a	2	3	correct
49.7971905976	0.0	12450	right_click	indicate_ready	n/a	2	3	1
49.8285906634	1257.075	12458	show_cross	fixate	+	3	5	nonWM
55.0748016704	305.975	13770	show_letter	to_ignore	C	3	5	gC
56.5156046933	305.95	14130	show_letter	to_ignore	P	3	5	gP
57.9574077183	305.95	14490	show_letter	to_remember	X	3	5	X
59.3992107434	305.925	14851	show_letter	to_ignore	Z	3	5	gZ
60.8410137684	305.7	15211	show_letter	to_remember	T	3	5	T
62.2818167913	305.95	15571	show_letter	to_remember	Y	3	5	Y
63.7235198161	305.975	15932	show_letter	to_remember	J	3	5	J
65.1653228411	305.95	16292	show_letter	to_remember	B	3	5	B
66.606125864	792.125	16653	show_dash	work_memory	-	3	5	WM
69.9927329694	184.2	17499	show_letter	probe_not_shown	H	3	5	rH
